time-(ms)-h-i,voltage-near-axon-(microV)-h-i
-236.518.998.238,-205.373.053.044
-236.319.998.233,-205.306.045.964
-236.120.998.227,-205.208.684.773
-235.921.998.222,-205.109.854.362
-235.722.998.216,-204.892.706.185
-235.523.998.211,-204.866.862.901
-235.324.998.205,-204.734.026.934
-2.351.259.982,-204.811.115.352
-234.926.998.194,-204.745.964.288
-234.727.998.188,-204.914.012.735
-234.528.998.183,-204.920.546.046
-234.329.998.177,-204.998.143.574
-234.130.998.172,-204.964.242.288
-233.931.998.166,-205.083.907.732
-233.732.998.161,-205.035.678.287
-233.533.998.155,-205.057.377.537
-23.333.499.815,-204.964.788.119
-233.135.998.144,-205.012.527.915
-232.936.998.139,-204.933.723.177
-232.737.998.133,-205.052.716.613
-232.538.998.128,-204.918.863.814
-232.339.998.122,-205.028.280.194
-232.140.998.117,-204.912.064.996
-231.941.998.111,-205.007.648.878
-231.742.998.106,-204.833.549.168
-2.315.439.981,-204.890.566.428
-231.344.998.095,-204.908.807.369
-231.145.998.089,-204.953.215.286
-230.946.998.084,-204.858.565.998
-230.747.998.078,-204.963.235.516
-230.548.998.072,-204.835.651.817
-230.349.998.067,-204.973.884.648
-230.150.998.061,-20.518.230.027
-229.951.998.056,-205.080.825.354
-22.975.299.805,-205.286.675.309
-229.553.998.045,-205.381.223.125
-229.354.998.039,-205.449.221.223
-229.155.998.034,-205.562.505.277
-228.956.998.028,-205.781.389.539
-228.757.998.023,-205.861.689.131
-228.558.998.017,-20.592.876.516
-228.359.998.012,-205.865.760.613
-228.160.998.006,-205.840.528.988
-227.961.998.001,-205.800.667.062
-227.762.997.995,-205.796.896.346
-22.756.399.799,-205.575.029.699
-227.364.997.984,-205.551.182.267
-227.165.997.979,-205.535.586.392
-226.966.997.973,-205.435.101.542
-226.767.997.968,-205.347.092.164
-226.568.997.962,-2.052.144.654
-226.369.997.957,-205.181.742.189
-226.170.997.951,-205.091.752.824
-225.971.997.945,-204.988.977.708
-22.577.299.794,-204.981.415.843
-225.573.997.934,-204.845.617.927
-225.374.997.929,-204.800.473.401
-225.175.997.923,-204.817.947.717
-224.976.997.918,-205.029.441.837
-224.777.997.912,-204.935.773.388
-224.578.997.907,-205.025.881.737
-224.379.997.901,-205.022.684.692
-224.180.997.896,-205.147.815.134
-22.398.199.789,-205.094.510.426
-223.782.997.885,-205.114.078.481
-223.583.997.879,-205.000.345.896
-223.384.997.874,-20.494.171.653
-223.185.997.868,-204.954.090.873
-222.986.997.863,-205.005.794.885
-222.787.997.857,-204.947.002.142
-222.588.997.852,-20.490.268.486
-222.389.997.846,-204.825.360.165
-222.190.997.841,-204.996.144.193
-221.991.997.835,-204.892.470.922
-221.792.997.829,-204.907.672.624
-221.593.997.824,-204.861.680.068
-221.394.997.818,-204.955.549.451
-221.195.997.813,-205.014.812.331
-220.996.997.807,-205.047.834.056
-220.797.997.802,-204.933.802.484
-220.598.997.796,-205.022.654.841
-220.399.997.791,-205.084.594.809
-220.200.997.785,-205.044.439.561
-22.000.199.778,-205.115.969.645
-219.802.997.774,-205.210.040.673
-219.603.997.769,-205.325.983.248
-219.404.997.763,-20.542.215.632
-219.205.997.758,-205.583.048.428
-219.006.997.752,-205.802.975.326
-218.807.997.747,-20.851.558.792
-218.608.997.741,-209.455.829.331
-218.409.997.736,-214.450.028.956
-21.821.099.773,-222.110.527.392
-218.011.997.725,-222.345.137.628
-217.812.997.719,-222.283.680.682
-217.613.997.713,-219.855.607.211
-217.414.997.708,-220.876.625.695
-217.215.997.702,-217.653.506.943
-217.016.997.697,-209.566.987.047
-216.817.997.691,-219.705.702.853
-216.618.997.686,-222.143.520.359
-21.641.999.768,-22.458.142.059
-216.220.997.675,-225.406.133.039
-216.021.997.669,-225.563.185.833
-215.822.997.664,-225.449.034.525
-215.623.997.658,-225.271.750.387
-215.424.997.653,-226.223.244.167
-215.225.997.647,-228.318.083.699
-215.026.997.642,-2.288.778.698
-214.827.997.636,-238.544.087.488
-214.628.997.631,-241.672.201.015
-214.429.997.625,-2.420.208.814
-21.423.099.762,-242.117.831.428
-214.031.997.614,-242.107.357.036
-213.832.997.609,-244.109.940.621
-213.633.997.603,-243.877.988.227
-213.434.997.598,-244.968.320.519
-213.235.997.592,-254.285.889.361
-213.036.997.586,-244.687.793.215
-212.837.997.581,-240.930.651.225
-212.638.997.575,-241.017.193.986
-21.243.999.757,-240.844.350.837
-212.240.997.564,-240.839.483.072
-212.041.997.559,-240.844.204.781
-211.842.997.553,-24.086.022.062
-211.643.997.548,-240.890.648.911
-211.444.997.542,-240.531.533.778
-211.245.997.537,-240.781.796.997
-211.046.997.531,-240.660.246.571
-210.847.997.526,-241.136.645.935
-21.064.899.752,-241.406.078.229
-210.449.997.515,-241.429.192.238
