time-(ms)-h-i,voltage-near-axon-(microV)-h-i
785.300.854.404,859.938.414.062
805.200.854.957,802.632.520.005
825.100.855.509,748.196.148.965
845.000.856.061,699.863.811.709
864.900.856.614,65.188.044.178
884.800.857.166,609.693.454.117
904.700.857.718,564.766.622.729
92.460.085.827,527.051.918.301
944.500.858.823,492.609.963.593
964.400.859.375,459.666.970.086
984.300.859.927,426.946.268.891
100.420.086.048,401.475.408.086
102.410.086.103,369.843.005.087
104.400.086.158,34.641.346.396
106.390.086.214,315.102.447.295
108.380.086.269,289.540.606.976
110.370.086.324,255.557.516.462
112.360.086.379,232.733.409.148
114.350.086.435,212.821.868.312
11.634.008.649,197.588.927.466
118.330.086.545,177.611.494.157
1.203.200.866,163.197.088.069
122.310.086.655,14.246.947.307
124.300.086.711,131.958.227.611
126.290.086.766,116.569.438.217
128.280.086.821,973.804.729.979
130.270.086.876,862.502.717.972
132.260.086.932,688.919.570.874
134.250.086.987,607.313.236.755
136.240.087.042,44.528.213.564
138.230.087.097,320.216.282.668
140.220.087.153,22.026.188.279
142.210.087.208,38.540.664.749
144.200.087.263,-128.187.103.358
146.190.087.318,-233.899.569.666
148.180.087.373,-465.175.638.507
150.170.087.429,-492.053.144.599
152.160.087.484,-664.646.506.686
154.150.087.539,-70.311.414.906
156.140.087.594,-866.089.660.816
15.813.008.765,-895.488.255.535
160.120.087.705,-105.614.910.595
16.211.008.776,-114.903.375.756
164.100.087.815,-122.601.937.231
166.090.087.871,-137.127.867.468
168.080.087.926,-138.082.093.044
170.070.087.981,-145.337.727.339
172.060.088.036,-155.605.047.245
174.050.088.091,-156.572.364.094
176.040.088.147,-157.055.360.706
178.030.088.202,-169.636.632.419
180.020.088.257,-172.176.085.746
182.010.088.312,-173.230.621.944
184.000.088.368,-173.775.554.528
185.990.088.423,-185.499.359.165
187.980.088.478,-189.085.454.939
189.970.088.533,-189.320.653.213
191.960.088.589,-18.983.469.158
193.950.088.644,-189.423.837.774
195.940.088.699,-191.584.634.781
197.930.088.754,-192.606.333.975
199.920.088.809,-193.479.499.032
201.910.088.865,-204.696.052.518
20.390.008.892,-205.952.438.685
205.890.088.975,-205.713.530.228
20.788.008.903,-205.992.023.485
209.870.089.086,-205.627.699.021
211.860.089.141,-206.190.206.681
213.850.089.196,-205.901.323.925
215.840.089.251,-206.194.772.961
217.830.089.307,-20.548.815.385
219.820.089.362,-205.576.594.217
221.810.089.417,-205.244.605.414
223.800.089.472,-205.028.179.616
225.790.089.527,-204.784.949.118
227.780.089.583,-205.111.895.735
229.770.089.638,-205.456.190.991
231.760.089.693,-205.739.311.184
233.750.089.748,-205.914.856.824
235.740.089.804,-206.370.841.655
237.730.089.859,-206.518.149.778
239.720.089.914,-206.536.898.317
241.710.089.969,-206.693.462.621
243.700.090.024,-206.759.355.351
24.569.009.008,-209.301.750.383
247.680.090.135,-209.962.387.131
24.967.009.019,-215.408.304.084
251.660.090.245,-225.537.111.423
253.650.090.301,-226.579.537.653
255.640.090.356,-227.132.592.486
257.630.090.411,-226.256.790.095
259.620.090.466,-237.018.788.518
261.610.090.522,-231.744.181.778
263.600.090.577,-238.066.182.484
265.590.090.632,-244.708.156.753
267.580.090.687,-24.799.603.796
269.570.090.742,-25.131.307.675
271.560.090.798,-260.389.476.355
273.550.090.853,-260.392.308.194
275.540.090.908,-257.429.604.712
277.530.090.963,-254.451.020.372
279.520.091.019,-252.534.047.478
281.510.091.074,-249.566.470.485
283.500.091.129,-239.949.119.904
285.490.091.184,-240.920.467.646
28.748.009.124,-240.307.609.347
289.470.091.295,-240.720.721.273
29.146.009.135,-239.851.076.424
293.450.091.405,-238.372.060.409
29.544.009.146,-238.235.532.215
297.430.091.516,-229.730.528.757
299.420.091.571,-225.059.992.361
301.410.091.626,-222.503.782.689
303.400.091.681,-222.214.287.216
305.390.091.737,-224.309.301.336
307.380.091.792,-225.469.602.226
309.370.091.847,-225.835.803.349
311.360.091.902,-227.485.422.617
313.350.091.958,-226.564.387.744
315.340.092.013,-226.675.380.377
317.330.092.068,-236.316.908.126
319.320.092.123,-225.136.068.131
321.310.092.178,-225.066.390.545
323.300.092.234,-224.516.968.131
325.290.092.289,-224.422.310.859
327.280.092.344,-223.907.210.223
329.270.092.399,-220.942.440.668
331.260.092.455,-220.347.955.715
33.325.009.251,-220.327.272.383
335.240.092.565,-220.830.112.507
33.723.009.262,-221.073.601.848
339.220.092.676,-221.176.477.762
341.210.092.731,-219.617.021.368
343.200.092.786,-218.860.441.577
345.190.092.841,-218.414.405.187
347.180.092.896,-206.757.391.034
349.170.092.952,-206.657.975.807
351.160.093.007,-206.463.441.473
353.150.093.062,-206.445.210.939
355.140.093.117,-20.881.048.242
357.130.093.173,-210.346.256.327
359.120.093.228,-218.199.099.296
361.110.093.283,-224.923.865.086
363.100.093.338,-22.726.372.559
365.090.093.394,-227.481.286.386
367.080.093.449,-234.225.609.633
369.070.093.504,-240.453.576.674
371.060.093.559,-239.897.354.355
373.050.093.614,-239.353.663.073
37.504.009.367,-238.128.593.416
377.030.093.725,-236.759.300.499
37.902.009.378,-236.200.922.713
381.010.093.835,-220.812.663.482
383.000.093.891,-220.343.027.206
384.990.093.946,-218.542.718.553
386.980.094.001,-217.592.370.551
388.970.094.056,-21.758.282.668
390.960.094.112,-205.832.076.376
392.950.094.167,-205.377.749.312
394.940.094.222,-205.238.940.836
396.930.094.277,-205.245.647.473
398.920.094.332,-205.416.930.884
400.910.094.388,-205.330.138.904
402.900.094.443,-205.865.938.974
404.890.094.498,-2.057.600.302
406.880.094.553,-205.953.079.298
408.870.094.609,-20.609.944.357
410.860.094.664,-207.592.449.747
412.850.094.719,-208.627.985.966
414.840.094.774,-207.677.725.675
41.683.009.483,-218.992.567.208
418.820.094.885,-221.551.523.742
42.081.009.494,-214.889.586.772
422.800.094.995,-219.353.643.053
42.479.009.505,-218.687.445.876
426.780.095.106,-215.341.732.592
428.770.095.161,-206.515.237.705
430.760.095.216,-207.195.973.219
432.750.095.271,-208.751.319.835
434.740.095.327,-208.993.949.147
436.730.095.382,-216.625.139.868
438.720.095.437,-219.993.593.608
440.710.095.492,-220.617.656.943
442.700.095.548,-216.958.216.479
444.690.095.603,-224.191.527.121
446.680.095.658,-224.467.775.313
448.670.095.713,-224.355.347.356
450.660.095.768,-224.247.419.228
452.650.095.824,-224.024.250.939
454.640.095.879,-223.695.919.176
456.630.095.934,-223.272.240.207
458.620.095.989,-220.722.664.014
460.610.096.045,-218.604.990.679
4.626.000.961,-216.819.761.585
464.590.096.155,-21.638.306.462
46.658.009.621,-206.792.388.512
468.570.096.265,-203.555.096.151
470.560.096.321,-200.914.074.302
472.550.096.376,-200.017.699.176
474.540.096.431,-194.497.199.427
476.530.096.486,-183.291.467.801
478.520.096.542,-180.911.279.584
480.510.096.597,-180.954.364.536
482.500.096.652,-171.935.062.516
484.490.096.707,-16.774.108.327
486.480.096.763,-165.738.832.068
488.470.096.818,-165.899.061.368
490.460.096.873,-156.428.108.591
492.450.096.928,-150.273.402.511
494.440.096.983,-150.433.962.694
496.430.097.039,-150.528.821.173
498.420.097.094,-150.363.627.933
500.410.097.149,-150.963.604.516
502.400.097.204,-151.550.604.186
50.439.009.726,-15.675.080.644
506.380.097.315,-158.045.988.775
50.837.009.737,-160.096.598.431
510.360.097.425,-171.314.885.391
512.350.097.481,-174.212.974.872
514.340.097.536,-174.719.465.666
516.330.097.591,-182.972.452.326
518.320.097.646,-190.686.849.254
520.310.097.701,-192.741.792.554
522.300.097.757,-19.298.539.819
524.290.097.812,-199.521.781.051
526.280.097.867,-204.547.232.026
528.270.097.922,-204.666.100.811
530.260.097.978,-204.424.137.284
532.250.098.033,-20.493.567.345
534.240.098.088,-205.570.683.557
536.230.098.143,-208.011.905.934
538.220.098.199,-20.661.091.215
540.210.098.254,-212.141.813.194
542.200.098.309,-220.353.266.885
544.190.098.364,-208.487.034.802
546.180.098.419,-21.417.156.553
548.170.098.475,-220.699.709.067
55.016.009.853,-220.595.884.726
552.150.098.585,-220.172.074.707
55.414.009.864,-217.883.641.301
556.130.098.696,-217.512.257.102
558.120.098.751,-211.576.659.996
560.110.098.806,-205.084.145.497
562.100.098.861,-204.862.125.429
564.090.098.916,-204.566.430.018
566.080.098.972,-204.680.351.894
568.070.099.027,-204.573.687.264
570.060.099.082,-204.484.806.538
572.050.099.137,-204.497.062.214
574.040.099.193,-20.466.167.361
576.030.099.248,-204.831.928.853
578.020.099.303,-204.983.955.388
580.010.099.358,-205.023.953.521
582.000.099.414,-205.066.154.408
583.990.099.469,-205.169.143.284
585.980.099.524,-205.664.030.252
587.970.099.579,-205.621.505.954
589.960.099.634,-205.743.849.587
59.195.009.969,-205.820.209.963
593.940.099.745,-205.981.584.621
5.959.300.998,-206.017.301.876
597.920.099.855,-206.239.669.193
599.910.099.911,-206.141.032.855
601.900.099.966,-207.800.580.758
603.890.100.021,-208.930.996.628
605.880.100.076,-209.137.756.133
607.870.100.132,-218.637.346.611
609.860.100.187,-2.187.274.311
611.850.100.242,-218.503.724.008
613.840.100.297,-207.641.756.515
615.830.100.352,-205.874.418.044
617.820.100.408,-205.463.289.901
619.810.100.463,-205.286.563.098
621.800.100.518,-205.312.849.049
623.790.100.573,-205.159.118.218
625.780.100.629,-205.147.221.342
627.770.100.684,-204.939.870.485
629.760.100.739,-205.335.869.475
631.750.100.794,-20.496.966.979
63.374.010.085,-204.895.816.712
635.730.100.905,-204.901.090.592
63.772.010.096,-20.504.332.223
639.710.101.015,-20.505.553.492
64.170.010.107,-205.317.324.299
643.690.101.126,-205.178.254.209
645.680.101.181,-205.760.834.785
647.670.101.236,-20.574.152.793
649.660.101.291,-205.933.584.002
651.650.101.347,-206.229.661.127
653.640.101.402,-206.357.959.677
655.630.101.457,-206.450.334.684
657.620.101.512,-208.617.971.078
659.610.101.568,-208.704.578.005
661.600.101.623,-211.910.330.251
663.590.101.678,-221.191.637.499
665.580.101.733,-22.178.309.793
667.570.101.788,-224.510.641.398
669.560.101.844,-224.915.451.005
671.550.101.899,-22.699.559.396
673.540.101.954,-227.026.696.785
675.530.102.009,-230.096.209.099
677.520.102.065,-239.548.852.701
67.951.010.212,-239.487.033.132
681.500.102.175,-237.507.074.881
68.349.010.223,-23.693.981.508
685.480.102.285,-233.847.998.198
687.470.102.341,-224.358.327.859
689.460.102.396,-22.416.313.169
691.450.102.451,-224.365.284.625
693.440.102.506,-222.293.125.358
695.430.102.562,-221.309.291.525
697.420.102.617,-221.346.384.509
699.410.102.672,-221.458.962.425
701.400.102.727,-21.922.521.085
703.390.102.783,-218.633.902.513
705.380.102.838,-216.739.491.803
707.370.102.893,-205.891.918.891
709.360.102.948,-205.690.393.365
711.350.103.003,-205.941.808.035
713.340.103.059,-205.977.038.687
715.330.103.114,-206.103.619.633
717.320.103.169,-205.869.027.696
719.310.103.224,-205.644.625.476
72.130.010.328,-20.530.903.754
723.290.103.335,-20.529.646.264
72.528.010.339,-205.085.356.622
727.270.103.445,-205.440.677.553
729.260.103.501,-205.531.705.551
731.250.103.556,-207.583.043.884
733.240.103.611,-208.838.511.501
735.230.103.666,-211.654.221.231
737.220.103.721,-224.128.455.351
739.210.103.777,-224.123.975.983
741.200.103.832,-221.136.052.004
743.190.103.887,-220.636.834.239
745.180.103.942,-220.553.074.455
747.170.103.998,-220.602.811.786
749.160.104.053,-220.565.035.297
751.150.104.108,-222.249.009.299
753.140.104.163,-224.392.370.198
755.130.104.219,-224.426.806.873
757.120.104.274,-221.662.496.019
759.110.104.329,-221.312.936.196
761.100.104.384,-22.125.925.714
763.090.104.439,-22.115.426.319
765.080.104.495,-219.615.072.055
76.707.010.455,-218.731.170.223
769.060.104.605,-220.116.999.404
77.105.010.466,-208.830.882.254
773.040.104.716,-209.213.781.262
775.030.104.771,-223.836.788.789
777.020.104.826,-224.997.664.223
779.010.104.881,-224.972.180.507
781.000.104.937,-225.308.785.807
782.990.104.992,-227.520.444.416
784.980.105.047,-227.859.350.022
786.970.105.102,-233.961.629.398
788.960.105.157,-240.801.215.814
790.950.105.213,-241.394.606.147
792.940.105.268,-24.213.713.842
794.930.105.323,-242.552.625.146
796.920.105.378,-243.014.380.108
798.910.105.434,-24.318.891.512
800.900.105.489,-24.382.945.981
802.890.105.544,-243.640.155.724
804.880.105.599,-243.346.514.664
806.870.105.654,-243.054.858.421
80.886.010.571,-242.963.020.767
810.850.105.765,-242.808.143.582
81.284.010.582,-24.383.398.637
814.830.105.875,-245.366.968.098
816.820.105.931,-24.782.794.915
818.810.105.986,-257.911.486.212
820.800.106.041,-26.098.460.786
822.790.106.096,-260.789.016.057
824.780.106.152,-26.088.320.457
826.770.106.207,-260.868.226.829
828.760.106.262,-260.570.970.714
830.750.106.317,-257.908.758.014
832.740.106.372,-256.908.928.495
834.730.106.428,-25.482.604.494
836.720.106.483,-254.323.710.055
838.710.106.538,-250.777.805.033
840.700.106.593,-241.392.500.592
842.690.106.649,-24.095.646.394
844.680.106.704,-241.313.328.339
846.670.106.759,-241.563.567.844
848.660.106.814,-242.144.943.589
85.065.010.687,-242.034.256.205
852.640.106.925,-241.835.507.591
85.463.010.698,-241.571.059.834
856.620.107.035,-241.592.687.391
85.861.010.709,-241.457.099.034
860.600.107.146,-241.129.583.721
862.590.107.201,-24.075.631.326
864.580.107.256,-240.826.029.592
866.570.107.311,-240.535.055.047
868.560.107.367,-238.299.636.345
870.550.107.422,-237.533.951.462
872.540.107.477,-23.424.949.179
874.530.107.532,-22.505.382.038
876.520.107.588,-22.485.110.985
878.510.107.643,-224.874.801.084
880.500.107.698,-224.561.777.501
882.490.107.753,-224.657.747.191
884.480.107.808,-224.683.692.337
886.470.107.864,-225.046.483.875
888.460.107.919,-225.420.419.234
890.450.107.974,-22.598.964.175
892.440.108.029,-226.410.507.793
894.430.108.085,-228.728.648.584
89.642.010.814,-229.966.295.568
898.410.108.195,-232.749.431.427
90.040.010.825,-243.210.405.897
902.390.108.306,-242.844.413.141
904.380.108.361,-243.059.591.512
906.370.108.416,-243.503.122.071
908.360.108.471,-245.869.373.424
910.350.108.526,-248.622.113.663
912.340.108.582,-255.317.174.731
914.330.108.637,-261.280.372.451
916.320.108.692,-261.044.006.308
918.310.108.747,-261.141.105.009
920.300.108.803,-260.842.988.749
922.290.108.858,-260.868.650.758
924.280.108.913,-260.465.389.053
926.270.108.968,-260.255.012.355
928.260.109.023,-257.183.669.988
930.250.109.079,-255.442.990.433
932.240.109.134,-254.011.553.799
934.230.109.189,-253.617.870.795
936.220.109.244,-240.996.115.003
9.382.101.093,-241.163.755.641
940.200.109.355,-240.968.854.769
94.219.010.941,-24.100.534.717
944.180.109.465,-240.406.814.033
946.170.109.521,-240.944.615.652
948.160.109.576,-241.363.798.458
950.150.109.631,-241.625.669.265
952.140.109.686,-241.003.670.385
954.130.109.741,-241.386.302.903
956.120.109.797,-241.534.426.963
958.110.109.852,-241.216.878.379
960.100.109.907,-240.383.206.644
962.090.109.962,-239.899.711.567
964.080.110.018,-239.670.472.681
966.070.110.073,-23.963.692.896
968.060.110.128,-239.482.374.896
970.050.110.183,-239.130.494.242
972.040.110.239,-236.998.800.314
974.030.110.294,-236.655.793.689
976.020.110.349,-230.620.141.134
978.010.110.404,-224.056.771.933
980.000.110.459,-223.665.342.654
981.990.110.515,-220.741.669.025
98.398.011.057,-220.398.038.105
985.970.110.625,-220.291.236.555
98.796.011.068,-22.003.107.929
989.950.110.736,-217.968.851.354
991.940.110.791,-21.789.921.214
993.930.110.846,-212.905.311.689
995.920.110.901,-205.869.587.229
997.910.110.957,-206.094.509.394
999.900.111.012,-206.452.485.894
100.189.011.107,-206.455.333.777
100.388.011.112,-206.817.623.651
100.587.011.118,-2.067.418.244
100.786.011.123,-20.676.076.375
100.985.011.129,-206.354.348.687
101.184.011.134,-206.159.453.364
10.138.301.114,-205.883.454.341
101.582.011.145,-206.354.318.586
101.781.011.151,-206.486.331.203
101.980.011.156,-208.978.323.647
102.179.011.162,-209.259.075.322
102.378.011.167,-21.361.513.146
102.577.011.173,-224.975.429.114
102.776.011.178,-225.063.038.068
102.975.011.184,-224.839.418.517
10.317.401.119,-224.810.664.625
103.373.011.195,-224.708.459.151
103.572.011.201,-225.043.581.846
103.771.011.206,-227.250.473.812
103.970.011.212,-228.169.482.325
104.169.011.217,-23.170.768.532
104.368.011.223,-242.175.613.397
104.567.011.228,-243.953.673.473
104.766.011.234,-242.947.284.943
104.965.011.239,-250.465.920.727
105.164.011.245,-253.181.487.674
10.536.301.125,-243.619.378.865
105.562.011.256,-240.182.774.071
105.761.011.261,-238.768.645.196
105.960.011.267,-236.971.325.973
106.159.011.272,-233.910.645.898
106.358.011.278,-221.393.299.416
106.557.011.283,-2.169.857.202
106.756.011.289,-212.647.610.295
106.955.011.294,-201.958.856.974
1.071.540.113,-201.751.241.387
107.353.011.306,-192.695.798.307
107.552.011.311,-186.951.554.636
107.751.011.317,-188.304.696.942
107.950.011.322,-189.325.462.591
108.149.011.328,-189.440.641.653
108.348.011.333,-189.410.301.071
108.547.011.339,-189.953.824.703
108.746.011.344,-192.289.582.352
10.894.501.135,-193.098.565.876
109.144.011.355,-196.104.864.145
109.343.011.361,-206.124.629.618
109.542.011.366,-206.119.694.556
109.741.011.372,-206.742.607.891
109.940.011.377,-206.655.754.417
110.139.011.383,-20.670.908.515
110.338.011.388,-206.880.693.273
110.537.011.394,-207.554.206.043
110.736.011.399,-209.316.702.445
110.935.011.405,-21.112.219.623
11.113.401.141,-220.068.093.909
111.333.011.416,-225.266.214.407
111.532.011.422,-225.195.652.501
111.731.011.427,-225.093.412.636
111.930.011.433,-224.650.302.408
112.129.011.438,-224.400.346.527
112.328.011.444,-224.286.227.192
112.527.011.449,-224.189.744.126
112.726.011.455,-224.039.905.902
11.292.501.146,-222.453.340.003
113.124.011.466,-220.448.348.446
113.323.011.471,-218.733.043.949
113.522.011.477,-217.457.353.558
113.721.011.482,-21.717.272.457
113.920.011.488,-20.515.611.919
114.119.011.493,-205.022.450.332
114.318.011.499,-205.201.693.097
114.517.011.504,-205.370.357.992
11.471.601.151,-205.052.248.926
114.915.011.515,-204.920.942.569
115.114.011.521,-204.712.558.958
115.313.011.526,-204.340.702.185
115.512.011.532,-202.835.957.784
115.711.011.537,-202.043.755.866
115.910.011.543,-201.862.655.334
116.109.011.549,-189.433.248.315
116.308.011.554,-189.420.666.063
11.650.701.156,-189.719.188.682
116.706.011.565,-189.895.079.063
116.905.011.571,-189.889.035.034
117.104.011.576,-192.017.979.844
117.303.011.582,-192.365.657.106
117.502.011.587,-198.458.387.403
117.701.011.593,-204.817.491.689
117.900.011.598,-204.866.954.306
118.099.011.604,-205.553.223.328
118.298.011.609,-205.779.196.257
118.497.011.615,-2.060.095.363
11.869.601.162,-206.134.281.018
118.895.011.626,-206.261.285.995
119.094.011.631,-206.459.666.462
119.293.011.637,-206.792.227.211
119.492.011.642,-2.071.391.551
119.691.011.648,-209.605.594.551
119.890.011.653,-210.073.366.207
120.089.011.659,-215.886.959.006
120.288.011.665,-22.600.120.665
12.048.701.167,-226.123.880.781
120.686.011.676,-226.275.295.331
120.885.011.681,-227.514.825.857
121.084.011.687,-229.197.081.062
121.283.011.692,-229.404.470.172
121.482.011.698,-239.355.715.749
121.681.011.703,-240.788.868.945
121.880.011.709,-240.757.047.301
122.079.011.714,-240.650.549.622
12.227.801.172,-240.505.101.676
122.477.011.725,-2.409.611.634
122.676.011.731,-240.427.325.764
122.875.011.736,-238.347.188.985
123.074.011.742,-237.616.331.976
123.273.011.747,-234.171.564.581
123.472.011.753,-225.975.263.659
123.671.011.758,-227.266.010.157
123.870.011.764,-227.782.946.063
124.069.011.769,-237.153.208.636
124.268.011.775,-240.225.847.744
124.467.011.781,-240.287.478.153
124.666.011.786,-240.294.023.277
124.865.011.792,-239.970.097.409
125.064.011.797,-237.759.338.201
125.263.011.803,-236.902.886.862
125.462.011.808,-233.425.457.148
125.661.011.814,-221.628.119.793
125.860.011.819,-22.049.398.473
126.059.011.825,-219.270.291.259
12.625.801.183,-217.754.371.626
126.457.011.836,-219.745.492.243
126.656.011.841,-211.515.056.257
126.855.011.847,-210.975.782.581
127.054.011.852,-220.085.734.814
127.253.011.858,-219.912.780.845
127.452.011.863,-219.211.444.597
127.651.011.869,-21.775.944.913
127.850.011.874,-217.591.791.605
12.804.901.188,-208.925.188.577
128.248.011.885,-205.652.244.192
128.447.011.891,-205.633.344.364
128.646.011.896,-205.749.768.796
128.845.011.902,-205.884.210.026
129.044.011.908,-205.898.111.512
129.243.011.913,-205.765.328.254
129.442.011.919,-205.920.600.283
129.641.011.924,-205.886.983.348
12.984.001.193,-206.087.591.027
130.039.011.935,-206.172.035.509
130.238.011.941,-206.177.329.281
130.437.011.946,-206.674.091.631
130.636.011.952,-206.826.801.588
130.835.011.957,-206.798.550.076
131.034.011.963,-207.255.609.302
131.233.011.968,-209.268.538.832
131.432.011.974,-20.962.289.913
131.631.011.979,-216.211.511.787
131.830.011.985,-221.536.727.957
13.202.901.199,-221.070.517.561
132.228.011.996,-220.951.817.376
132.427.012.001,-221.095.329.649
132.626.012.007,-224.089.690.433
132.825.012.012,-224.558.208.044
133.024.012.018,-224.672.217.059
133.223.012.024,-224.713.736.505
133.422.012.029,-224.775.040.819
133.621.012.035,-224.608.989.539
13.382.001.204,-22.333.759.534
134.019.012.046,-223.539.049.788
134.218.012.051,-221.522.345.061
134.417.012.057,-22.113.810.384
134.616.012.062,-221.605.471.764
134.815.012.068,-224.533.798.155
135.014.012.073,-22.495.891.011
135.213.012.079,-225.212.227.502
135.412.012.084,-225.520.813.045
13.561.101.209,-225.903.213.943
135.810.012.095,-225.640.026.335
136.009.012.101,-22.551.657.561
136.208.012.106,-227.083.215.503
136.407.012.112,-228.486.056.058
136.606.012.117,-228.533.178.146
136.805.012.123,-241.750.687.275
137.004.012.128,-242.468.103.345
137.203.012.134,-24.412.084.251
137.402.012.139,-246.702.416.322
137.601.012.145,-248.793.878.716
137.800.012.151,-260.596.218.725
137.999.012.156,-260.822.146.166
138.198.012.162,-257.913.706.661
138.397.012.167,-257.653.745.861
138.596.012.173,-257.598.247.491
138.795.012.178,-257.966.121.749
138.994.012.184,-260.935.539.678
139.193.012.189,-261.716.482.993
139.392.012.195,-262.027.513.969
1.395.910.122,-26.232.508.304
139.790.012.206,-262.232.986.506
139.989.012.211,-26.246.261.634
140.188.012.217,-262.248.230.614
140.387.012.222,-261.928.725.513
140.586.012.228,-261.772.725.752
140.785.012.233,-261.705.920.105
140.984.012.239,-261.234.085.797
141.183.012.244,-261.342.194.038
14.138.201.225,-261.525.592.473
141.581.012.255,-261.284.633.592
141.780.012.261,-260.969.581.752
141.979.012.267,-258.358.073.921
142.178.012.272,-255.240.606.995
142.377.012.278,-255.830.019.281
142.576.012.283,-25.091.307.129
142.775.012.289,-244.059.323.323
142.974.012.294,-24.390.309.494
1.431.730.123,-240.674.992.696
143.372.012.305,-240.331.706.784
143.571.012.311,-239.846.851.382
143.770.012.316,-237.562.779.901
143.969.012.322,-236.981.780.471
144.168.012.327,-233.457.464.586
144.367.012.333,-22.431.681.887
144.566.012.338,-223.459.154.534
144.765.012.344,-220.541.245.381
144.964.012.349,-22.035.477.638
145.163.012.355,-218.196.810.509
14.536.201.236,-217.439.822.942
145.561.012.366,-214.292.398.304
145.760.012.371,-204.952.956.113
145.959.012.377,-204.961.872.476
146.158.012.383,-205.026.864.568
146.357.012.388,-204.831.057.315
146.556.012.394,-204.986.179.231
146.755.012.399,-204.387.334.105
146.954.012.405,-204.262.158.612
14.715.301.241,-203.187.217.369
147.352.012.416,-201.833.406.744
147.551.012.421,-201.776.186.792
147.750.012.427,-195.002.991.183
147.949.012.432,-192.155.514.739
148.148.012.438,-193.129.993.866
148.347.012.443,-202.266.556.216
148.546.012.449,-199.526.449.604
148.745.012.454,-190.167.558.066
14.894.401.246,-190.035.632.961
149.143.012.465,-189.995.192.122
149.342.012.471,-190.302.764.972
149.541.012.476,-190.334.710.021
149.740.012.482,-191.311.437.493
149.939.012.487,-19.304.503.771
150.138.012.493,-193.756.391.553
150.337.012.498,-201.348.690.493
150.536.012.504,-203.911.195.825
15.073.501.251,-203.839.062.147
150.934.012.515,-204.335.108.425
151.133.012.521,-194.048.568.868
151.332.012.526,-201.022.103.306
151.531.012.532,-205.760.384.867
151.730.012.537,-20.607.281.119
151.929.012.543,-206.770.791.709
152.128.012.548,-208.899.145.635
152.327.012.554,-209.072.900.604
152.526.012.559,-218.621.754.067
152.725.012.565,-224.897.614.839
15.292.401.257,-225.132.485.685
153.123.012.576,-225.200.682.222
153.322.012.581,-226.811.390.938
153.521.012.587,-227.918.032.818
153.720.012.592,-228.071.109.525
153.919.012.598,-240.943.200.231
154.118.012.603,-241.593.450.639
154.317.012.609,-241.813.228.472
154.516.012.614,-241.709.380.537
15.471.501.262,-241.617.788.032
154.914.012.626,-241.930.922.825
155.113.012.631,-242.034.178.217
155.312.012.637,-241.996.657.134
155.511.012.642,-241.708.859.387
155.710.012.648,-241.002.910.054
155.909.012.653,-240.899.935.743
156.108.012.659,-240.733.649.854
156.307.012.664,-240.940.432.693
15.650.601.267,-24.112.987.593
156.705.012.675,-24.130.826.818
156.904.012.681,-240.897.403.787
157.103.012.686,-240.319.463.921
157.302.012.692,-239.870.825.033
157.501.012.697,-238.588.510.037
157.700.012.703,-23.713.076.365
157.899.012.708,-237.143.872.591
158.098.012.714,-22.507.932.019
158.297.012.719,-225.035.160.426
158.496.012.725,-224.628.753.069
15.869.501.273,-22.498.113.458
158.894.012.736,-223.869.009.108
159.093.012.741,-224.675.993.026
159.292.012.747,-222.435.594.284
159.491.012.753,-223.383.802.321
159.690.012.758,-225.689.168.124
159.889.012.764,-225.887.788.755
160.088.012.769,-22.626.828.789
160.287.012.775,-226.335.616.067
16.048.601.278,-226.256.142.963
160.685.012.786,-226.254.918.497
160.884.012.791,-225.948.493.925
161.083.012.797,-226.015.913.749
161.282.012.802,-225.672.586.478
161.481.012.808,-225.697.150.501
161.680.012.813,-225.557.665
161.879.012.819,-225.380.828.218
162.078.012.824,-225.167.285.561
16.227.701.283,-22.510.691.149
162.476.012.835,-225.145.270.578
162.675.012.841,-225.137.930.754
162.874.012.846,-224.845.895.274
163.073.012.852,-224.931.760.418
163.272.012.857,-225.259.712.135
163.471.012.863,-224.850.070.993
163.670.012.869,-224.932.553.189
163.869.012.874,-225.113.047.955
16.406.801.288,-225.290.691.571
164.267.012.885,-22.504.177.664
164.466.012.891,-226.207.145.033
164.665.012.896,-227.861.874.978
164.864.012.902,-227.889.126.437
165.063.012.907,-23.631.448.297
165.262.012.913,-238.055.493.575
165.461.012.918,-237.649.287.767
165.660.012.924,-227.984.599.893
165.859.012.929,-224.698.880.102
166.058.012.935,-224.841.752.605
16.625.701.294,-22.494.764.752
166.456.012.946,-224.985.732.647
166.655.012.951,-224.935.041.885
166.854.012.957,-224.972.651.225
167.053.012.962,-224.883.650.261
167.252.012.968,-224.880.987.428
167.451.012.973,-225.901.296.623
167.650.012.979,-227.665.819.896
167.849.012.985,-227.988.884.194
16.804.801.299,-237.622.789.911
168.247.012.996,-241.701.399.116
168.446.013.001,-241.871.621.429
168.645.013.007,-241.322.951.779
168.844.013.012,-241.628.600.994
169.043.013.018,-24.166.954.681
169.242.013.023,-241.887.960.488
169.441.013.029,-239.568.817.064
169.640.013.034,-238.827.405.586
16.983.901.304,-236.504.794.469
170.038.013.045,-226.432.001.924
170.237.013.051,-226.307.856.023
170.436.013.056,-226.351.678.409
170.635.013.062,-226.273.296.372
170.834.013.067,-226.341.636.648
171.033.013.073,-226.636.810.088
171.232.013.078,-228.653.029.658
171.431.013.084,-228.584.677.326
