V axon soma stm a-f,Firing modulation soma stm a-f,V axon axon stm a-f,Firing modulation axon stm a-f,V axon soma stm g,Firing modulation soma stm g,V axon axon stm g,Firing modulation axon stm g,time (ms) h-i,voltage near axon (microV) h-i,time (ms) h-i,firing modulation (Hz; green trace) h-i
,,,,,,,,-287.263.999.647,-202.778.260.882,-290.820.333.922,"2,69E+06"
,,,,,,,,-287.064.999.641,-202.850.142.437,-290.653.667.255,"3,44E+06"
,,,,,,,,-286.865.999.635,-202.728.946.988,-290.487.000.589,"4,39E+06"
,,,,,,,,-28.666.699.963,-202.656.081.168,-290.320.333.922,"5,58E+06"
,,,,,,,,-286.467.999.624,-202.689.752.097,-290.153.667.255,"7,08E+06"
,,,,,,,,-286.268.999.619,-202.509.508.973,-289.987.000.589,"8,96E+06"
,,,,,,,,-286.069.999.613,-202.477.157.152,-289.820.333.922,11.319.505.865
,,,,,,,,-285.870.999.608,-202.352.776.929,-289.653.667.255,142.621.979.504
,,,,,,,,-285.671.999.602,-202.366.046.871,-289.487.000.589,179.270.226.897
,,,,,,,,-285.472.999.597,-202.182.211.449,-289.320.333.922,224.798.471.544
,,,,,,,,-285.273.999.591,-202.215.251.651,-289.153.667.255,281.217.794.677
,,,,,,,,-285.074.999.586,-202.058.286.972,-288.987.000.589,350.959.741.878
,,,,,,,,-28.487.599.958,-202.252.322.992,-288.820.333.922,436.955.981.212
,,,,,,,,-284.676.999.575,-202.199.634.394,-288.653.667.255,542.731.217.914
,,,,,,,,-284.477.999.569,-20.233.392.581,-288.487.000.589,6.725.111.875
,,,,,,,,-284.278.999.564,-20.254.992.484,-288.320.333.922,831.347.723.273
,,,,,,,,-284.079.999.558,-20.245.430.463,-288.153.667.255,102.526.306.992
,,,,,,,,-283.880.999.553,-202.576.593.551,-287.987.000.589,126.141.578.888
,,,,,,,,-283.681.999.547,-202.679.380.624,-287.820.333.922,154.829.076.891
,,,,,,,,-283.482.999.542,-202.680.085.906,-287.653.667.255,189.591.601.217
,,,,,,,,-283.283.999.536,-203.221.209.775,-287.487.000.589,231.610.900.551
,,,,,,,,-283.084.999.531,-203.272.801.085,-287.320.333.922,282.275.560.282
,,,,,,,,-282.885.999.525,-203.226.167.916,-287.153.667.255,343.212.442.829
,,,,,,,,-28.268.699.952,-203.149.578.569,-286.987.000.589,416.321.985.508
,,,,,,,,-282.487.999.514,-203.185.910.482,-286.820.333.922,503.817.660.858
,,,,,,,,-282.288.999.508,-203.267.000.292,-286.653.667.255,608.269.897.937
,,,,,,,,-282.089.999.503,-203.139.725.018,-286.487.000.589,732.654.749.627
,,,,,,,,-281.890.999.497,-203.157.412.067,-286.320.333.922,880.407.569.489
,,,,,,,,-281.691.999.492,-203.140.410.376,-286.153.667.255,105.548.193.088
,,,,,,,,-281.492.999.486,-203.104.232.448,-285.987.000.589,126.241.397.994
,,,,,,,,-281.293.999.481,-203.096.309.939,-285.820.333.922,150.639.236.158
,,,,,,,,-281.094.999.475,-203.227.141.319,-285.653.667.255,179.333.379.235
,,,,,,,,-28.089.599.947,-203.105.562.995,-285.487.000.589,212.996.427.607
,,,,,,,,-280.696.999.464,-203.181.405.255,-285.320.333.922,252.390.586.548
,,,,,,,,-280.497.999.459,-203.192.002.914,-285.153.667.255,298.376.876.608
,,,,,,,,-280.298.999.453,-203.195.691.282,-284.987.000.589,351.924.845.687
,,,,,,,,-280.099.999.448,-203.097.178.703,-284.820.333.922,414.122.736.562
,,,,,,,,-279.900.999.442,-203.232.871.914,-284.653.667.255,486.188.048.558
,,,,,,,,-279.701.999.437,-20.321.429.381,-284.487.000.589,569.478.415.587
,,,,,,,,-279.502.999.431,-203.375.153.768,-284.320.333.922,665.502.705.112
,,,,,,,,-279.303.999.426,-203.348.451.516,-284.153.667.255,775.932.223.869
,,,,,,,,-27.910.499.942,-203.581.369.177,-283.987.000.589,902.611.896.659
,,,,,,,,-278.905.999.415,-203.616.357.721,-283.820.333.922,10.475.712.645
,,,,,,,,-278.706.999.409,-203.837.802.886,-283.653.667.255,121.303.512.819
,,,,,,,,-278.507.999.404,-203.831.592.306,-283.487.000.589,140.143.364.353
,,,,,,,,-278.308.999.398,-203.970.541.388,-283.320.333.922,16.154.116.549
,,,,,,,,-278.109.999.392,-203.990.994.342,-283.153.667.255,185.783.703.624
