V axon soma stm a-f,Firing modulation soma stm a-f,V axon axon stm a-f,Firing modulation axon stm a-f,V axon soma stm g,Firing modulation soma stm g,V axon axon stm g,Firing modulation axon stm g,time (ms) h-i,voltage near axon (microV) h-i,time (ms) h-i,firing modulation (Hz; green trace) h-i
,,,,,,,,215.840.089.251,-206.194.772.961,-321.536.672.555,673.640.043.342
,,,,,,,,217.830.089.307,-20.548.815.385,-319.870.005.888,673.709.005.352
,,,,,,,,219.820.089.362,-205.576.594.217,-318.203.339.222,673.773.790.345
,,,,,,,,221.810.089.417,-205.244.605.414,-316.536.672.555,673.832.675.035
,,,,,,,,223.800.089.472,-205.028.179.616,-314.870.005.888,673.883.942.186
,,,,,,,,225.790.089.527,-204.784.949.118,-313.203.339.222,673.925.900.547
,,,,,,,,227.780.089.583,-205.111.895.735,-311.536.672.555,673.956.904.803
,,,,,,,,229.770.089.638,-205.456.190.991,-309.870.005.888,67.397.537.522
,,,,,,,,231.760.089.693,-205.739.311.184,-308.203.339.222,673.979.816.696
,,,,,,,,233.750.089.748,-205.914.856.824,-306.536.672.555,673.968.836.903
,,,,,,,,235.740.089.804,-206.370.841.655,-304.870.005.888,673.941.163.249
,,,,,,,,237.730.089.859,-206.518.149.778,-303.203.339.222,67.389.565.838
,,,,,,,,239.720.089.914,-206.536.898.317,-301.536.672.555,673.831.333.984
,,,,,,,,241.710.089.969,-206.693.462.621,-299.870.005.888,673.747.362.672
,,,,,,,,243.700.090.024,-206.759.355.351,-298.203.339.222,673.643.087.761
,,,,,,,,24.569.009.008,-209.301.750.383,-296.536.672.555,673.518.030.811
,,,,,,,,247.680.090.135,-209.962.387.131,-294.870.005.888,67.337.189.679
,,,,,,,,24.967.009.019,-215.408.304.084,-293.203.339.222,673.204.576.818
,,,,,,,,251.660.090.245,-225.537.111.423,-291.536.672.555,673.016.148.454
,,,,,,,,253.650.090.301,-226.579.537.653,-289.870.005.888,67.280.687.353
,,,,,,,,255.640.090.356,-227.132.592.486,-288.203.339.222,672.577.193.596
,,,,,,,,257.630.090.411,-226.256.790.095,-286.536.672.555,672.327.723.072
,,,,,,,,259.620.090.466,-237.018.788.518,-284.870.005.888,672.059.240.209
,,,,,,,,261.610.090.522,-231.744.181.778,-283.203.339.222,671.772.676.052
,,,,,,,,263.600.090.577,-238.066.182.484,-281.536.672.555,671.469.101.564
,,,,,,,,265.590.090.632,-244.708.156.753,-279.870.005.888,671.149.713.138
,,,,,,,,267.580.090.687,-24.799.603.796,-278.203.339.222,670.815.816.728
,,,,,,,,269.570.090.742,-25.131.307.675,-276.536.672.555,670.468.810.835
,,,,,,,,271.560.090.798,-260.389.476.355,-274.870.005.888,670.110.168.616
,,,,,,,,273.550.090.853,-260.392.308.194,-273.203.339.222,669.741.419.361
,,,,,,,,275.540.090.908,-257.429.604.712,-271.536.672.555,669.364.129.619
,,,,,,,,277.530.090.963,-254.451.020.372,-269.870.005.888,6.689.798.842
,,,,,,,,279.520.091.019,-252.534.047.478,-268.203.339.222,668.590.267.325
,,,,,,,,281.510.091.074,-249.566.470.485,-266.536.672.555,668.196.844.145
,,,,,,,,283.500.091.129,-239.949.119.904,-264.870.005.888,667.801.142.847
,,,,,,,,285.490.091.184,-240.920.467.646,-263.203.339.222,667.404.637.559
,,,,,,,,28.748.009.124,-240.307.609.347,-261.536.672.555,667.008.732.217
,,,,,,,,289.470.091.295,-240.720.721.273,-259.870.005.888,666.614.745.575
,,,,,,,,29.146.009.135,-239.851.076.424,-258.203.339.222,666.223.897.478
,,,,,,,,293.450.091.405,-238.372.060.409,-256.536.672.555,665.837.296.529
,,,,,,,,29.544.009.146,-238.235.532.215,-254.870.005.888,665.455.929.227
,,,,,,,,297.430.091.516,-229.730.528.757,-253.203.339.222,665.080.650.678
,,,,,,,,299.420.091.571,-225.059.992.361,-251.536.672.555,664.712.176.896
,,,,,,,,301.410.091.626,-222.503.782.689,-249.870.005.888,664.351.078.766
,,,,,,,,303.400.091.681,-222.214.287.216,-248.203.339.222,663.997.777.659
,,,,,,,,305.390.091.737,-224.309.301.336,-246.536.672.555,663.652.542.725
,,,,,,,,307.380.091.792,-225.469.602.226,-244.870.005.888,663.315.489.837
,,,,,,,,309.370.091.847,-225.835.803.349,-243.203.339.222,662.986.582.181
,,,,,,,,311.360.091.902,-227.485.422.617,-241.536.672.555,662.665.632.444
,,,,,,,,313.350.091.958,-226.564.387.744,-239.870.005.888,662.352.306.578
,,,,,,,,315.340.092.013,-226.675.380.377,-238.203.339.222,662.046.129.084
,,,,,,,,317.330.092.068,-236.316.908.126,-236.536.672.555,66.174.648.975
,,,,,,,,319.320.092.123,-225.136.068.131,-234.870.005.888,661.452.651.818
,,,,,,,,321.310.092.178,-225.066.390.545,-233.203.339.222,661.163.761.464
,,,,,,,,323.300.092.234,-224.516.968.131,-231.536.672.555,660.878.858.573
,,,,,,,,325.290.092.289,-224.422.310.859,-229.870.005.888,660.596.888.679
,,,,,,,,327.280.092.344,-223.907.210.223,-228.203.339.222,660.316.716.023
,,,,,,,,329.270.092.399,-220.942.440.668,-226.536.672.555,660.037.137.617
,,,,,,,,331.260.092.455,-220.347.955.715,-224.870.005.888,659.756.898.214
,,,,,,,,33.325.009.251,-220.327.272.383,-223.203.339.222,659.474.706.075
,,,,,,,,335.240.092.565,-220.830.112.507,-221.536.672.555,659.189.249.413
,,,,,,,,33.723.009.262,-221.073.601.848,-219.870.005.888,658.899.213.377
,,,,,,,,339.220.092.676,-221.176.477.762,-218.203.339.222,658.603.297.441
,,,,,,,,341.210.092.731,-219.617.021.368,-216.536.672.555,658.300.233.034
,,,,,,,,343.200.092.786,-218.860.441.577,-214.870.005.888,657.988.801.257
,,,,,,,,345.190.092.841,-218.414.405.187,-213.203.339.222,657.667.850.497
,,,,,,,,347.180.092.896,-206.757.391.034,-211.536.672.555,657.336.313.775
,,,,,,,,349.170.092.952,-206.657.975.807,-209.870.005.888,65.699.322.562
,,,,,,,,351.160.093.007,-206.463.441.473,-208.203.339.222,65.663.773.827
,,,,,,,,353.150.093.062,-206.445.210.939,-206.536.672.555,656.269.137.023
,,,,,,,,355.140.093.117,-20.881.048.242,-204.870.005.888,655.886.854.511
,,,,,,,,357.130.093.173,-210.346.256.327,-203.203.339.222,655.490.483.722
,,,,,,,,359.120.093.228,-218.199.099.296,-201.536.672.555,655.079.789.568
,,,,,,,,361.110.093.283,-224.923.865.086,-199.870.005.888,654.654.718.832
,,,,,,,,363.100.093.338,-22.726.372.559,-198.203.339.222,654.215.408.317
,,,,,,,,365.090.093.394,-227.481.286.386,-196.536.672.555,653.762.191.068
,,,,,,,,367.080.093.449,-234.225.609.633,-194.870.005.888,653.295.600.523
,,,,,,,,369.070.093.504,-240.453.576.674,-193.203.339.222,652.816.372.511
,,,,,,,,371.060.093.559,-239.897.354.355,-191.536.672.555,652.325.445.018
,,,,,,,,373.050.093.614,-239.353.663.073,-189.870.005.888,651.823.955.674
,,,,,,,,37.504.009.367,-238.128.593.416,-188.203.339.222,651.313.236.969
,,,,,,,,377.030.093.725,-236.759.300.499,-186.536.672.555,650.794.809.197
,,,,,,,,37.902.009.378,-236.200.922.713,-184.870.005.888,650.270.371.208
,,,,,,,,381.010.093.835,-220.812.663.482,-183.203.339.222,649.741.789.045
,,,,,,,,383.000.093.891,-220.343.027.206,-181.536.672.555,649.211.082.589
,,,,,,,,384.990.093.946,-218.542.718.553,-179.870.005.888,648.680.410.374
,,,,,,,,386.980.094.001,-217.592.370.551,-178.203.339.222,64.815.205.274
,,,,,,,,388.970.094.056,-21.758.282.668,-176.536.672.555,647.628.393.538
,,,,,,,,390.960.094.112,-205.832.076.376,-174.870.005.888,647.111.900.605
,,,,,,,,392.950.094.167,-205.377.749.312,-173.203.339.222,646.605.105.261
,,,,,,,,394.940.094.222,-205.238.940.836,-171.536.672.555,646.110.581.077
,,,,,,,,396.930.094.277,-205.245.647.473,-169.870.005.888,64.563.092.217
,,,,,,,,398.920.094.332,-205.416.930.884,-168.203.339.222,645.168.721.301
,,,,,,,,400.910.094.388,-205.330.138.904,-166.536.672.555,644.726.548.031
,,,,,,,,402.900.094.443,-205.865.938.974,-164.870.005.888,644.306.927.186
,,,,,,,,404.890.094.498,-2.057.600.302,-163.203.339.222,643.912.317.882
,,,,,,,,406.880.094.553,-205.953.079.298,-161.536.672.555,643.545.093.326
,,,,,,,,408.870.094.609,-20.609.944.357,-159.870.005.888,643.207.521.616
,,,,,,,,410.860.094.664,-207.592.449.747,-158.203.339.222,642.901.747.706
,,,,,,,,412.850.094.719,-208.627.985.966,-156.536.672.555,642.629.776.712
,,,,,,,,414.840.094.774,-207.677.725.675,-154.870.005.888,642.393.458.679
,,,,,,,,41.683.009.483,-218.992.567.208,-153.203.339.222,642.194.474.936
,,,,,,,,418.820.094.885,-221.551.523.742,-151.536.672.555,642.034.326.086
,,,,,,,,42.081.009.494,-214.889.586.772,-149.870.005.888,641.914.321.716
,,,,,,,,422.800.094.995,-219.353.643.053,-148.203.339.222,641.835.571.819
,,,,,,,,42.479.009.505,-218.687.445.876,-146.536.672.555,641.798.979.958
,,,,,,,,426.780.095.106,-215.341.732.592,-144.870.005.888,641.805.238.112
,,,,,,,,428.770.095.161,-206.515.237.705,-143.203.339.222,6.418.548.232
,,,,,,,,430.760.095.216,-207.195.973.219,-141.536.672.555,641.947.995.178
,,,,,,,,432.750.095.271,-208.751.319.835,-139.870.005.888,642.084.796.667
,,,,,,,,434.740.095.327,-208.993.949.147,-138.203.339.222,642.265.053.994
,,,,,,,,436.730.095.382,-216.625.139.868,-136.536.672.555,642.488.379.568
,,,,,,,,438.720.095.437,-219.993.593.608,-134.870.005.888,64.275.417.547
,,,,,,,,440.710.095.492,-220.617.656.943,-133.203.339.222,643.061.638.163
,,,,,,,,442.700.095.548,-216.958.216.479,-131.536.672.555,643.409.764.206
,,,,,,,,444.690.095.603,-224.191.527.121,-129.870.005.888,643.797.356.865
,,,,,,,,446.680.095.658,-224.467.775.313,-128.203.339.222,644.223.033.537
,,,,,,,,448.670.095.713,-224.355.347.356,-126.536.672.555,644.685.233.862
,,,,,,,,450.660.095.768,-224.247.419.228,-124.870.005.888,645.182.228.472
,,,,,,,,452.650.095.824,-224.024.250.939,-123.203.339.222,645.712.128.267
,,,,,,,,454.640.095.879,-223.695.919.176,-121.536.672.555,646.272.894.164
,,,,,,,,456.630.095.934,-223.272.240.207,-119.870.005.888,646.862.347.262
,,,,,,,,458.620.095.989,-220.722.664.014,-118.203.339.222,647.478.179.354
,,,,,,,,460.610.096.045,-218.604.990.679,-116.536.672.555,648.117.963.752
,,,,,,,,4.626.000.961,-216.819.761.585,-114.870.005.888,648.779.166.396
,,,,,,,,464.590.096.155,-21.638.306.462,-113.203.339.222,649.459.157.195
,,,,,,,,46.658.009.621,-206.792.388.512,-111.536.672.555,650.155.221.586
,,,,,,,,468.570.096.265,-203.555.096.151,-109.870.005.888,650.864.572.294
,,,,,,,,470.560.096.321,-200.914.074.302,-108.203.339.222,65.158.436.125
,,,,,,,,472.550.096.376,-200.017.699.176,-106.536.672.555,652.311.691.659
,,,,,,,,474.540.096.431,-194.497.199.427,-104.870.005.888,653.043.630.198
,,,,,,,,476.530.096.486,-183.291.467.801,-103.203.339.222,653.777.219.293
,,,,,,,,478.520.096.542,-180.911.279.584,-101.536.672.555,654.509.489.467
,,,,,,,,480.510.096.597,-180.954.364.536,-998.700.058.884,655.237.471.704
,,,,,,,,482.500.096.652,-171.935.062.516,-982.033.392.217,655.958.209.789
,,,,,,,,484.490.096.707,-16.774.108.327,-965.366.725.551,656.668.772.566
,,,,,,,,486.480.096.763,-165.738.832.068,-948.700.058.884,65.736.626.605
,,,,,,,,488.470.096.818,-165.899.061.368,-932.033.392.217,658.047.845.321
,,,,,,,,490.460.096.873,-156.428.108.591,-915.366.725.551,658.710.726.124
,,,,,,,,492.450.096.928,-150.273.402.511,-898.700.058.884,659.352.196.074
,,,,,,,,494.440.096.983,-150.433.962.694,-882.033.392.217,659.969.625.371
,,,,,,,,496.430.097.039,-150.528.821.173,-865.366.725.551,660.560.476.927
,,,,,,,,498.420.097.094,-150.363.627.933,-848.700.058.884,661.122.315.779
,,,,,,,,500.410.097.149,-150.963.604.516,-832.033.392.217,661.652.817.685
,,,,,,,,502.400.097.204,-151.550.604.186,-815.366.725.551,662.149.776.776
,,,,,,,,50.439.009.726,-15.675.080.644,-798.700.058.884,662.611.112.146
,,,,,,,,506.380.097.315,-158.045.988.775,-782.033.392.217,663.034.873.266
,,,,,,,,50.837.009.737,-160.096.598.431,-765.366.725.551,663.419.244.106
,,,,,,,,510.360.097.425,-171.314.885.391,-748.700.058.884,663.762.545.857
,,,,,,,,512.350.097.481,-174.212.974.872,-732.033.392.217,664.063.238.162
,,,,,,,,514.340.097.536,-174.719.465.666,-715.366.725.551,66.431.991.877
,,,,,,,,516.330.097.591,-182.972.452.326,-698.700.058.884,664.531.321.544
,,,,,,,,518.320.097.646,-190.686.849.254,-682.033.392.217,664.696.312.779
,,,,,,,,520.310.097.701,-192.741.792.554,-665.366.725.551,664.813.885.789
,,,,,,,,522.300.097.757,-19.298.539.819,-648.700.058.884,664.883.153.775
,,,,,,,,524.290.097.812,-199.521.781.051,-632.033.392.217,664.903.340.987
,,,,,,,,526.280.097.867,-204.547.232.026,-615.366.725.551,664.873.772.225
,,,,,,,,528.270.097.922,-204.666.100.811,-598.700.058.884,664.793.860.762
,,,,,,,,530.260.097.978,-204.424.137.284,-582.033.392.217,664.663.094.802
,,,,,,,,532.250.098.033,-20.493.567.345,-565.366.725.551,664.481.022.599
,,,,,,,,534.240.098.088,-205.570.683.557,-548.700.058.884,664.247.236.424
,,,,,,,,536.230.098.143,-208.011.905.934,-532.033.392.217,663.961.355.562
,,,,,,,,538.220.098.199,-20.661.091.215,-515.366.725.551,663.623.008.588
,,,,,,,,540.210.098.254,-212.141.813.194,-498.700.058.884,663.231.815.163
,,,,,,,,542.200.098.309,-220.353.266.885,-482.033.392.217,662.787.367.627
,,,,,,,,544.190.098.364,-208.487.034.802,-465.366.725.551,662.289.212.715
,,,,,,,,546.180.098.419,-21.417.156.553,-448.700.058.884,661.736.833.683
,,,,,,,,548.170.098.475,-220.699.709.067,-432.033.392.217,661.129.633.193
,,,,,,,,55.016.009.853,-220.595.884.726,-415.366.725.551,660.466.917.296
,,,,,,,,552.150.098.585,-220.172.074.707,-398.700.058.884,659.747.880.837
,,,,,,,,55.414.009.864,-217.883.641.301,-382.033.392.217,658.971.594.639
,,,,,,,,556.130.098.696,-217.512.257.102,-365.366.725.551,658.136.994.773
,,,,,,,,558.120.098.751,-211.576.659.996,-348.700.058.884,657.242.874.234
,,,,,,,,560.110.098.806,-205.084.145.497,-332.033.392.217,656.287.877.309
,,,,,,,,562.100.098.861,-204.862.125.429,-315.366.725.551,655.270.496.882
,,,,,,,,564.090.098.916,-204.566.430.018,-298.700.058.884,65.418.907.492
,,,,,,,,566.080.098.972,-204.680.351.894,-282.033.392.217,653.041.806.297
,,,,,,,,568.070.099.027,-204.573.687.264,-265.366.725.551,651.826.746.118
,,,,,,,,570.060.099.082,-204.484.806.538,-248.700.058.884,650.541.820.605
,,,,,,,,572.050.099.137,-204.497.062.214,-232.033.392.217,649.184.841.596
,,,,,,,,574.040.099.193,-20.466.167.361,-215.366.725.551,647.753.524.636
,,,,,,,,576.030.099.248,-204.831.928.853,-198.700.058.884,646.245.510.557
,,,,,,,,578.020.099.303,-204.983.955.388,-182.033.392.217,644.658.390.443
,,,,,,,,580.010.099.358,-205.023.953.521,-165.366.725.551,642.989.733.754
,,,,,,,,582.000.099.414,-205.066.154.408,-148.700.058.884,641.237.119.371
,,,,,,,,583.990.099.469,-205.169.143.284,-132.033.392.217,639.398.169.259
,,,,,,,,585.980.099.524,-205.664.030.252,-115.366.725.551,637.470.584.376
,,,,,,,,587.970.099.579,-205.621.505.954,-987.000.588.839,635.452.182.446
,,,,,,,,589.960.099.634,-205.743.849.587,-820.333.922.173,633.340.937.132
,,,,,,,,59.195.009.969,-205.820.209.963,-653.667.255.506,631.135.018.154
,,,,,,,,593.940.099.745,-205.981.584.621,-487.000.588.839,62.883.283.184
,,,,,,,,5.959.300.998,-206.017.301.876,-320.333.922.173,626.433.061.578
,,,,,,,,597.920.099.855,-206.239.669.193,-153.667.255.506,623.934.707.663
,,,,,,,,599.910.099.911,-206.141.032.855,129.994.111.605,621.337.125.978
,,,,,,,,601.900.099.966,-207.800.580.758,179.666.077.827,618.640.064.995
,,,,,,,,603.890.100.021,-208.930.996.628,346.332.744.494,61.584.370.058
,,,,,,,,605.880.100.076,-209.137.756.133,51.299.941.116,612.948.668.099
,,,,,,,,607.870.100.132,-218.637.346.611,679.666.077.827,609.956.091.376
,,,,,,,,609.860.100.187,-2.187.274.311,846.332.744.494,606.867.608.067
,,,,,,,,611.850.100.242,-218.503.724.008,101.299.941.116,603.685.391.078
,,,,,,,,613.840.100.297,-207.641.756.515,117.966.607.783,600.412.165.677
,,,,,,,,615.830.100.352,-205.874.418.044,134.633.274.449,597.051.222.044
,,,,,,,,617.820.100.408,-205.463.289.901,151.299.941.116,593.606.423.018
,,,,,,,,619.810.100.463,-205.286.563.098,167.966.607.783,590.082.206.894
,,,,,,,,621.800.100.518,-205.312.849.049,184.633.274.449,586.483.585.167
,,,,,,,,623.790.100.573,-205.159.118.218,201.299.941.116,582.816.135.196
,,,,,,,,625.780.100.629,-205.147.221.342,217.966.607.783,579.085.987.804
,,,,,,,,627.770.100.684,-204.939.870.485,234.633.274.449,575.299.809.927
,,,,,,,,629.760.100.739,-205.335.869.475,251.299.941.116,571.464.782.446
,,,,,,,,631.750.100.794,-20.496.966.979,267.966.607.783,567.588.573.421
,,,,,,,,63.374.010.085,-204.895.816.712,284.633.274.449,563.679.306.983
,,,,,,,,635.730.100.905,-204.901.090.592,301.299.941.116,559.745.528.207
,,,,,,,,63.772.010.096,-20.504.332.223,317.966.607.783,555.796.164.297
,,,,,,,,639.710.101.015,-20.505.553.492,334.633.274.449,551.840.482.504
,,,,,,,,64.170.010.107,-205.317.324.299,351.299.941.116,547.888.045.177
,,,,,,,,643.690.101.126,-205.178.254.209,367.966.607.783,543.948.662.408
,,,,,,,,645.680.101.181,-205.760.834.785,384.633.274.449,54.003.234.274
,,,,,,,,647.670.101.236,-20.574.152.793,401.299.941.116,536.149.242.409
,,,,,,,,649.660.101.291,-205.933.584.002,417.966.607.783,532.309.613.628
,,,,,,,,651.650.101.347,-206.229.661.127,434.633.274.449,528.523.752.375
,,,,,,,,653.640.101.402,-206.357.959.677,451.299.941.116,524.801.946.195
,,,,,,,,655.630.101.457,-206.450.334.684,467.966.607.783,521.154.422.464
,,,,,,,,657.620.101.512,-208.617.971.078,484.633.274.449,517.591.297.593
,,,,,,,,659.610.101.568,-208.704.578.005,501.299.941.116,51.412.252.759
,,,,,,,,661.600.101.623,-211.910.330.251,517.966.607.783,510.757.860.396
,,,,,,,,663.590.101.678,-221.191.637.499,534.633.274.449,507.506.790.387
,,,,,,,,665.580.101.733,-22.178.309.793,551.299.941.116,504.378.515.373
,,,,,,,,667.570.101.788,-224.510.641.398,567.966.607.783,50.138.189.643
,,,,,,,,669.560.101.844,-224.915.451.005,584.633.274.449,498.525.420.828
,,,,,,,,671.550.101.899,-22.699.559.396,601.299.941.116,495.817.168.311
,,,,,,,,673.540.101.954,-227.026.696.785,617.966.607.783,493.264.780.922
,,,,,,,,675.530.102.009,-230.096.209.099,634.633.274.449,490.875.436.544
,,,,,,,,677.520.102.065,-239.548.852.701,651.299.941.116,488.655.826.275
,,,,,,,,67.951.010.212,-239.487.033.132,667.966.607.783,486.612.135.728
,,,,,,,,681.500.102.175,-237.507.074.881,684.633.274.449,484.750.030.289
,,,,,,,,68.349.010.223,-23.693.981.508,701.299.941.116,483.074.644.362
,,,,,,,,685.480.102.285,-233.847.998.198,717.966.607.783,481.590.574.549
,,,,,,,,687.470.102.341,-224.358.327.859,734.633.274.449,480.301.876.712
,,,,,,,,689.460.102.396,-22.416.313.169,751.299.941.116,479.212.066.812
,,,,,,,,691.450.102.451,-224.365.284.625,767.966.607.783,478.324.125.402
,,,,,,,,693.440.102.506,-222.293.125.358,784.633.274.449,477.640.505.595
,,,,,,,,695.430.102.562,-221.309.291.525,801.299.941.116,477.163.144.337
,,,,,,,,697.420.102.617,-221.346.384.509,817.966.607.783,476.893.476.745
,,,,,,,,699.410.102.672,-221.458.962.425,834.633.274.449,476.832.453.289
,,,,,,,,701.400.102.727,-21.922.521.085,851.299.941.116,476.980.559.541
,,,,,,,,703.390.102.783,-218.633.902.513,867.966.607.783,477.337.838.209
,,,,,,,,705.380.102.838,-216.739.491.803,884.633.274.449,477.903.913.173
,,,,,,,,707.370.102.893,-205.891.918.891,901.299.941.116,478.678.015.183
,,,,,,,,709.360.102.948,-205.690.393.365,917.966.607.783,479.659.008.921
,,,,,,,,711.350.103.003,-205.941.808.035,934.633.274.449,480.845.421.076
,,,,,,,,713.340.103.059,-205.977.038.687,951.299.941.116,482.235.469.106
,,,,,,,,715.330.103.114,-206.103.619.633,967.966.607.783,483.827.090.344
,,,,,,,,717.320.103.169,-205.869.027.696,984.633.274.449,485.617.971.109
,,,,,,,,719.310.103.224,-205.644.625.476,100.129.994.112,487.605.575.483
,,,,,,,,72.130.010.328,-20.530.903.754,101.796.660.778,489.787.173.445
,,,,,,,,723.290.103.335,-20.529.646.264,103.463.327.445,492.159.868.028
,,,,,,,,72.528.010.339,-205.085.356.622,105.129.994.112,494.720.621.205
,,,,,,,,727.270.103.445,-205.440.677.553,106.796.660.778,497.466.278.225
,,,,,,,,729.260.103.501,-205.531.705.551,108.463.327.445,500.393.590.133
,,,,,,,,731.250.103.556,-207.583.043.884,110.129.994.112,503.499.234.228
,,,,,,,,733.240.103.611,-208.838.511.501,111.796.660.778,50.677.983.226
,,,,,,,,735.230.103.666,-211.654.221.231,113.463.327.445,510.231.966.163
,,,,,,,,737.220.103.721,-224.128.455.351,115.129.994.112,51.385.219.119
,,,,,,,,739.210.103.777,-224.123.975.983,116.796.660.778,51.763.704.631
,,,,,,,,741.200.103.832,-221.136.052.004,118.463.327.445,5.215.830.618
,,,,,,,,743.190.103.887,-220.636.834.239,120.129.994.112,52.568.676.396
,,,,,,,,745.180.103.942,-220.553.074.455,121.796.660.778,529.944.676.962
,,,,,,,,747.170.103.998,-220.602.811.786,123.463.327.445,534.353.321.831
,,,,,,,,749.160.104.053,-220.565.035.297,125.129.994.112,538.909.212.642
,,,,,,,,751.150.104.108,-222.249.009.299,126.796.660.778,54.360.885.001
,,,,,,,,753.140.104.163,-224.392.370.198,128.463.327.445,54.844.871.202
,,,,,,,,755.130.104.219,-224.426.806.873,130.129.994.112,553.425.242.759
,,,,,,,,757.120.104.274,-221.662.496.019,131.796.660.778,558.534.838.651
,,,,,,,,759.110.104.329,-221.312.936.196,133.463.327.445,563.773.832.825
,,,,,,,,761.100.104.384,-22.125.925.714,135.129.994.112,569.138.477.785
,,,,,,,,763.090.104.439,-22.115.426.319,136.796.660.778,574.624.926.651
,,,,,,,,765.080.104.495,-219.615.072.055,138.463.327.445,580.229.213.299
,,,,,,,,76.707.010.455,-218.731.170.223,140.129.994.112,585.947.231.712
,,,,,,,,769.060.104.605,-220.116.999.404,141.796.660.778,591.774.714.899
,,,,,,,,77.105.010.466,-208.830.882.254,143.463.327.445,597.707.213.725
,,,,,,,,773.040.104.716,-209.213.781.262,145.129.994.112,603.740.076.029
,,,,,,,,775.030.104.771,-223.836.788.789,146.796.660.778,609.868.426.391
,,,,,,,,777.020.104.826,-224.997.664.223,148.463.327.445,616.087.146.914
,,,,,,,,779.010.104.881,-224.972.180.507,150.129.994.112,622.390.859.396
,,,,,,,,781.000.104.937,-225.308.785.807,151.796.660.778,628.773.909.238
,,,,,,,,782.990.104.992,-227.520.444.416,153.463.327.445,635.230.351.427
,,,,,,,,784.980.105.047,-227.859.350.022,155.129.994.112,641.753.938.941
,,,,,,,,786.970.105.102,-233.961.629.398,156.796.660.778,648.338.113.854
,,,,,,,,788.960.105.157,-240.801.215.814,158.463.327.445,654.976.001.436
,,,,,,,,790.950.105.213,-241.394.606.147,160.129.994.112,661.660.407.506
,,,,,,,,792.940.105.268,-24.213.713.842,161.796.660.778,668.383.819.228
,,,,,,,,794.930.105.323,-242.552.625.146,163.463.327.445,67.513.840.957
,,,,,,,,796.920.105.378,-243.014.380.108,165.129.994.112,681.916.045.537
,,,,,,,,798.910.105.434,-24.318.891.512,166.796.660.778,68.870.830.029
,,,,,,,,800.900.105.489,-24.382.945.981,168.463.327.445,695.506.469.217
,,,,,,,,802.890.105.544,-243.640.155.724,170.129.994.112,702.301.589.943
,,,,,,,,804.880.105.599,-243.346.514.664,171.796.660.778,709.084.466.263
,,,,,,,,806.870.105.654,-243.054.858.421,173.463.327.445,715.845.695.888
,,,,,,,,80.886.010.571,-242.963.020.767,175.129.994.112,722.575.701.886
,,,,,,,,810.850.105.765,-242.808.143.582,176.796.660.778,729.264.767.604
,,,,,,,,81.284.010.582,-24.383.398.637,178.463.327.445,735.903.074.863
,,,,,,,,814.830.105.875,-245.366.968.098,180.129.994.112,742.480.745.107
,,,,,,,,816.820.105.931,-24.782.794.915,181.796.660.778,748.987.883.206
,,,,,,,,818.810.105.986,-257.911.486.212,183.463.327.445,755.414.623.501
,,,,,,,,820.800.106.041,-26.098.460.786,185.129.994.112,761.751.177.716
,,,,,,,,822.790.106.096,-260.789.016.057,186.796.660.778,767.987.884.248
,,,,,,,,824.780.106.152,-26.088.320.457,188.463.327.445,774.115.258.376
,,,,,,,,826.770.106.207,-260.868.226.829,190.129.994.112,780.124.042.868
,,,,,,,,828.760.106.262,-260.570.970.714,191.796.660.778,786.005.258.468
,,,,,,,,830.750.106.317,-257.908.758.014,193.463.327.445,791.750.253.706
,,,,,,,,832.740.106.372,-256.908.928.495,195.129.994.112,797.350.753.497
,,,,,,,,834.730.106.428,-25.482.604.494,196.796.660.778,802.798.905.974
,,,,,,,,836.720.106.483,-254.323.710.055,198.463.327.445,808.087.327.009
,,,,,,,,838.710.106.538,-250.777.805.033,200.129.994.112,813.209.141.915
,,,,,,,,840.700.106.593,-241.392.500.592,201.796.660.778,818.158.023.807
,,,,,,,,842.690.106.649,-24.095.646.394,203.463.327.445,822.928.228.168
,,,,,,,,844.680.106.704,-241.313.328.339,205.129.994.112,827.514.623.174
,,,,,,,,846.670.106.759,-241.563.567.844,206.796.660.778,831.912.715.407
,,,,,,,,848.660.106.814,-242.144.943.589,208.463.327.445,836.118.670.597
,,,,,,,,85.065.010.687,-242.034.256.205,210.129.994.112,840.129.329.138
,,,,,,,,852.640.106.925,-241.835.507.591,211.796.660.778,84.394.221.614
,,,,,,,,85.463.010.698,-241.571.059.834,213.463.327.445,847.555.545.878
,,,,,,,,856.620.107.035,-241.592.687.391,215.129.994.112,850.968.220.551
,,,,,,,,85.861.010.709,-241.457.099.034,216.796.660.778,854.179.823.344
,,,,,,,,860.600.107.146,-241.129.583.721,218.463.327.445,857.190.605.853
,,,,,,,,862.590.107.201,-24.075.631.326,220.129.994.112,86.000.147.001
,,,,,,,,864.580.107.256,-240.826.029.592,221.796.660.778,862.613.944.717
,,,,,,,,866.570.107.311,-240.535.055.047,223.463.327.445,865.030.157.471
,,,,,,,,868.560.107.367,-238.299.636.345,225.129.994.112,867.252.801.314
,,,,,,,,870.550.107.422,-237.533.951.462,226.796.660.778,869.285.097.526
,,,,,,,,872.540.107.477,-23.424.949.179,228.463.327.445,87.113.075.452
,,,,,,,,874.530.107.532,-22.505.382.038,230.129.994.112,872.793.923.453
,,,,,,,,876.520.107.588,-22.485.110.985,231.796.660.778,874.279.151.111
