time-(ms)-h-i,firing-modulation-(Hz-green-trace)-h-i
-254.153.667.255,378.891.548.096
-253.987.000.589,385.573.376.083
-253.820.333.922,392.445.458.907
-253.653.667.255,399.495.227.054
-253.487.000.589,406.708.880.399
-253.320.333.922,414.071.469.688
-253.153.667.255,421.566.991.595
-252.987.000.589,429.178.496.389
-252.820.333.922,436.888.207.023
-252.653.667.255,444.677.648.245
-252.487.000.589,452.527.784.191
-252.320.333.922,460.419.162.716
-252.153.667.255,468.332.064.634
-251.987.000.589,476.246.655.945
-251.820.333.922,484.143.141.059
-251.653.667.255,492.001.915.018
-251.487.000.589,499.803.712.747
-251.320.333.922,507.529.753.398
-251.153.667.255,515.161.877.969
-250.987.000.589,522.682.678.485
-250.820.333.922,530.075.617.192
-250.653.667.255,537.325.134.404
-250.487.000.589,544.416.743.823
-250.320.333.922,551.337.114.414
-250.153.667.255,558.074.138.112
-249.987.000.589,564.616.982.914
-249.820.333.922,570.956.131.136
-249.653.667.255,577.083.402.864
-249.487.000.589,582.991.964.868
-249.320.333.922,588.676.325.458
-249.153.667.255,594.132.315.994
-248.987.000.589,599.357.059.899
-248.820.333.922,604.348.930.238
-248.653.667.255,609.107.497.027
-248.487.000.589,613.633.465.546
-248.320.333.922,617.928.607.011
-248.153.667.255,621.995.683.008
-247.987.000.589,625.838.365.106
-247.820.333.922,629.461.151.038
-247.653.667.255,632.869.278.842
-247.487.000.589,636.068.640.235
-247.320.333.922,639.065.694.462
-247.153.667.255,641.867.383.716
-246.987.000.589,644.481.051.139
-246.820.333.922,646.914.362.262
-246.653.667.255,649.175.230.616
-246.487.000.589,651.271.748.097
-246.320.333.922,653.212.120.536
-246.153.667.255,655.004.608.772
-245.987.000.589,656.657.475.407
-245.820.333.922,658.178.937.276
-245.653.667.255,659.577.123.572
-245.487.000.589,660.860.039.456
-245.320.333.922,662.035.534.883
-245.153.667.255,663.111.278.325
-244.987.000.589,664.094.734.991
-244.820.333.922,664.993.149.126
-244.653.667.255,665.813.529.922
-244.487.000.589,666.562.640.592
-244.320.333.922,667.246.990.128
-244.153.667.255,667.872.827.308
-243.987.000.589,668.446.136.527
-243.820.333.922,668.972.635.066
-243.653.667.255,669.457.771.467
-243.487.000.589,669.906.724.698
-243.320.333.922,670.324.403.895
-243.153.667.255,670.715.448.462
-242.987.000.589,671.084.228.411
-242.820.333.922,671.434.844.851
-242.653.667.255,671.771.130.577
-242.487.000.589,672.096.650.778
-242.320.333.922,672.414.703.894
-242.153.667.255,672.728.322.691
-241.987.000.589,673.040.275.659
-241.820.333.922,673.353.068.836
-241.653.667.255,673.668.948.172
-241.487.000.589,673.989.902.575
-241.320.333.922,674.317.667.724
-241.153.667.255,674.653.730.782
-240.987.000.589,674.999.336.084
-240.820.333.922,675.355.491.855
-240.653.667.255,675.722.978.019
-240.487.000.589,676.102.355.095
-240.320.333.922,676.493.974.169
-240.153.667.255,676.897.987.884
-239.987.000.589,677.314.362.387
-239.820.333.922,6.777.428.901
-239.653.667.255,678.183.203.209
-239.487.000.589,678.634.787.696
-239.320.333.922,679.096.997.748
-239.153.667.255,679.569.070.354
-238.987.000.589,680.050.139.891
-238.820.333.922,680.539.252.506
-238.653.667.255,681.035.380.084
-238.487.000.589,681.537.433.623
-238.320.333.922,682.044.275.833
-238.153.667.255,682.554.732.807
-237.987.000.589,683.067.604.616
-237.820.333.922,683.581.674.732
-237.653.667.255,684.095.718.187
-237.487.000.589,684.608.508.432
-237.320.333.922,685.118.822.872
-237.153.667.255,685.625.447.109
-236.987.000.589,686.127.177.934
-236.820.333.922,68.662.282.517
-236.653.667.255,687.111.212.475
-236.487.000.589,687.591.177.252
-236.320.333.922,688.061.569.845
-236.153.667.255,688.521.252.192
-235.987.000.589,688.969.096.158
-235.820.333.922,689.403.981.743
-235.653.667.255,689.824.795.384
-235.487.000.589,69.023.042.856
-235.320.333.922,690.619.776.905
-235.153.667.255,690.991.739.995
-234.987.000.589,691.345.221.995
-234.820.333.922,691.679.133.275
-234.653.667.255,691.992.393.123
-234.487.000.589,692.283.933.608
-234.320.333.922,692.552.704.627
-234.153.667.255,692.797.680.137
-233.987.000.589,693.017.865.515
-233.820.333.922,69.321.230.596
-233.653.667.255,693.380.095.818
-233.487.000.589,693.520.388.663
-233.320.333.922,69.363.240.794
-233.153.667.255,693.715.457.956
-232.987.000.589,693.768.934.971
-232.820.333.922,693.792.338.137
-232.653.667.255,693.785.280.012
-232.487.000.589,693.747.496.382
-232.320.333.922,693.678.855.135
-232.153.667.255,693.579.363.924
-231.987.000.589,693.449.176.396
-231.820.333.922,69.328.859.679
-231.653.667.255,69.309.808.271
-231.487.000.589,692.878.245.965
-231.320.333.922,692.629.851.372
-231.153.667.255,692.353.813.477
-230.987.000.589,692.051.191.203
-230.820.333.922,691.723.180.473
-230.653.667.255,691.371.104.912
-230.487.000.589,690.996.404.777
-230.320.333.922,690.600.624.308
-230.153.667.255,690.185.397.733
-229.987.000.589,689.752.434.193
-229.820.333.922,689.303.501.897
-229.653.667.255,688.840.411.805
-229.487.000.589,688.365.001.191
-229.320.333.922,687.879.117.415
-229.153.667.255,687.384.602.233
-228.987.000.589,686.883.276.987
-228.820.333.922,686.376.928.949
-228.653.667.255,685.867.299.115
-228.487.000.589,685.356.071.676
-228.320.333.922,684.844.865.358
-228.153.667.255,684.335.226.775
-227.987.000.589,683.828.625.895
-227.820.333.922,683.326.453.637
-227.653.667.255,682.830.021.597
-227.487.000.589,682.340.563.794
-227.320.333.922,681.859.240.324
-227.153.667.255,681.387.142.707
-226.987.000.589,680.925.300.691
-226.820.333.922,680.474.690.233
-226.653.667.255,68.003.624.232
-226.487.000.589,679.610.852.279
-226.320.333.922,67.919.938.921
