time-(ms)-h-i,firing-modulation-(Hz-green-trace)-h-i
-299.870.005.888,673.747.362.672
-298.203.339.222,673.643.087.761
-296.536.672.555,673.518.030.811
-294.870.005.888,67.337.189.679
-293.203.339.222,673.204.576.818
-291.536.672.555,673.016.148.454
-289.870.005.888,67.280.687.353
-288.203.339.222,672.577.193.596
-286.536.672.555,672.327.723.072
-284.870.005.888,672.059.240.209
-283.203.339.222,671.772.676.052
-281.536.672.555,671.469.101.564
-279.870.005.888,671.149.713.138
-278.203.339.222,670.815.816.728
-276.536.672.555,670.468.810.835
-274.870.005.888,670.110.168.616
-273.203.339.222,669.741.419.361
-271.536.672.555,669.364.129.619
-269.870.005.888,6.689.798.842
-268.203.339.222,668.590.267.325
-266.536.672.555,668.196.844.145
-264.870.005.888,667.801.142.847
-263.203.339.222,667.404.637.559
-261.536.672.555,667.008.732.217
-259.870.005.888,666.614.745.575
-258.203.339.222,666.223.897.478
-256.536.672.555,665.837.296.529
-254.870.005.888,665.455.929.227
-253.203.339.222,665.080.650.678
-251.536.672.555,664.712.176.896
-249.870.005.888,664.351.078.766
-248.203.339.222,663.997.777.659
-246.536.672.555,663.652.542.725
-244.870.005.888,663.315.489.837
-243.203.339.222,662.986.582.181
-241.536.672.555,662.665.632.444
-239.870.005.888,662.352.306.578
-238.203.339.222,662.046.129.084
-236.536.672.555,66.174.648.975
-234.870.005.888,661.452.651.818
-233.203.339.222,661.163.761.464
-231.536.672.555,660.878.858.573
-229.870.005.888,660.596.888.679
-228.203.339.222,660.316.716.023
-226.536.672.555,660.037.137.617
-224.870.005.888,659.756.898.214
-223.203.339.222,659.474.706.075
-221.536.672.555,659.189.249.413
-219.870.005.888,658.899.213.377
-218.203.339.222,658.603.297.441
-216.536.672.555,658.300.233.034
-214.870.005.888,657.988.801.257
-213.203.339.222,657.667.850.497
-211.536.672.555,657.336.313.775
-209.870.005.888,65.699.322.562
-208.203.339.222,65.663.773.827
-206.536.672.555,656.269.137.023
-204.870.005.888,655.886.854.511
-203.203.339.222,655.490.483.722
-201.536.672.555,655.079.789.568
-199.870.005.888,654.654.718.832
-198.203.339.222,654.215.408.317
-196.536.672.555,653.762.191.068
-194.870.005.888,653.295.600.523
-193.203.339.222,652.816.372.511
-191.536.672.555,652.325.445.018
-189.870.005.888,651.823.955.674
-188.203.339.222,651.313.236.969
-186.536.672.555,650.794.809.197
-184.870.005.888,650.270.371.208
-183.203.339.222,649.741.789.045
-181.536.672.555,649.211.082.589
-179.870.005.888,648.680.410.374
-178.203.339.222,64.815.205.274
-176.536.672.555,647.628.393.538
-174.870.005.888,647.111.900.605
-173.203.339.222,646.605.105.261
-171.536.672.555,646.110.581.077
-169.870.005.888,64.563.092.217
-168.203.339.222,645.168.721.301
-166.536.672.555,644.726.548.031
-164.870.005.888,644.306.927.186
-163.203.339.222,643.912.317.882
-161.536.672.555,643.545.093.326
-159.870.005.888,643.207.521.616
-158.203.339.222,642.901.747.706
-156.536.672.555,642.629.776.712
-154.870.005.888,642.393.458.679
-153.203.339.222,642.194.474.936
-151.536.672.555,642.034.326.086
-149.870.005.888,641.914.321.716
-148.203.339.222,641.835.571.819
-146.536.672.555,641.798.979.958
-144.870.005.888,641.805.238.112
-143.203.339.222,6.418.548.232
-141.536.672.555,641.947.995.178
-139.870.005.888,642.084.796.667
-138.203.339.222,642.265.053.994
-136.536.672.555,642.488.379.568
-134.870.005.888,64.275.417.547
-133.203.339.222,643.061.638.163
-131.536.672.555,643.409.764.206
-129.870.005.888,643.797.356.865
-128.203.339.222,644.223.033.537
-126.536.672.555,644.685.233.862
-124.870.005.888,645.182.228.472
-123.203.339.222,645.712.128.267
-121.536.672.555,646.272.894.164
-119.870.005.888,646.862.347.262
-118.203.339.222,647.478.179.354
-116.536.672.555,648.117.963.752
-114.870.005.888,648.779.166.396
-113.203.339.222,649.459.157.195
-111.536.672.555,650.155.221.586
-109.870.005.888,650.864.572.294
-108.203.339.222,65.158.436.125
-106.536.672.555,652.311.691.659
-104.870.005.888,653.043.630.198
-103.203.339.222,653.777.219.293
-101.536.672.555,654.509.489.467
-998.700.058.884,655.237.471.704
-982.033.392.217,655.958.209.789
-965.366.725.551,656.668.772.566
-948.700.058.884,65.736.626.605
-932.033.392.217,658.047.845.321
-915.366.725.551,658.710.726.124
-898.700.058.884,659.352.196.074
-882.033.392.217,659.969.625.371
-865.366.725.551,660.560.476.927
-848.700.058.884,661.122.315.779
-832.033.392.217,661.652.817.685
-815.366.725.551,662.149.776.776
-798.700.058.884,662.611.112.146
-782.033.392.217,663.034.873.266
-765.366.725.551,663.419.244.106
-748.700.058.884,663.762.545.857
-732.033.392.217,664.063.238.162
-715.366.725.551,66.431.991.877
-698.700.058.884,664.531.321.544
-682.033.392.217,664.696.312.779
-665.366.725.551,664.813.885.789
-648.700.058.884,664.883.153.775
-632.033.392.217,664.903.340.987
-615.366.725.551,664.873.772.225
-598.700.058.884,664.793.860.762
-582.033.392.217,664.663.094.802
-565.366.725.551,664.481.022.599
-548.700.058.884,664.247.236.424
-532.033.392.217,663.961.355.562
-515.366.725.551,663.623.008.588
-498.700.058.884,663.231.815.163
-482.033.392.217,662.787.367.627
-465.366.725.551,662.289.212.715
-448.700.058.884,661.736.833.683
-432.033.392.217,661.129.633.193
-415.366.725.551,660.466.917.296
-398.700.058.884,659.747.880.837
-382.033.392.217,658.971.594.639
-365.366.725.551,658.136.994.773
-348.700.058.884,657.242.874.234
-332.033.392.217,656.287.877.309
-315.366.725.551,655.270.496.882
-298.700.058.884,65.418.907.492
-282.033.392.217,653.041.806.297
-265.366.725.551,651.826.746.118
-248.700.058.884,650.541.820.605
-232.033.392.217,649.184.841.596
-215.366.725.551,647.753.524.636
-198.700.058.884,646.245.510.557
-182.033.392.217,644.658.390.443
-165.366.725.551,642.989.733.754
-148.700.058.884,641.237.119.371
-132.033.392.217,639.398.169.259
-115.366.725.551,637.470.584.376
-987.000.588.839,635.452.182.446
-820.333.922.173,633.340.937.132
-653.667.255.506,631.135.018.154
-487.000.588.839,62.883.283.184
-320.333.922.173,626.433.061.578
-153.667.255.506,623.934.707.663
129.994.111.605,621.337.125.978
179.666.077.827,618.640.064.995
346.332.744.494,61.584.370.058
51.299.941.116,612.948.668.099
679.666.077.827,609.956.091.376
846.332.744.494,606.867.608.067
101.299.941.116,603.685.391.078
117.966.607.783,600.412.165.677
134.633.274.449,597.051.222.044
151.299.941.116,593.606.423.018
167.966.607.783,590.082.206.894
184.633.274.449,586.483.585.167
201.299.941.116,582.816.135.196
217.966.607.783,579.085.987.804
234.633.274.449,575.299.809.927
251.299.941.116,571.464.782.446
267.966.607.783,567.588.573.421
284.633.274.449,563.679.306.983
301.299.941.116,559.745.528.207
317.966.607.783,555.796.164.297
334.633.274.449,551.840.482.504
351.299.941.116,547.888.045.177
367.966.607.783,543.948.662.408
384.633.274.449,54.003.234.274
401.299.941.116,536.149.242.409
417.966.607.783,532.309.613.628
434.633.274.449,528.523.752.375
451.299.941.116,524.801.946.195
467.966.607.783,521.154.422.464
484.633.274.449,517.591.297.593
501.299.941.116,51.412.252.759
517.966.607.783,510.757.860.396
534.633.274.449,507.506.790.387
551.299.941.116,504.378.515.373
567.966.607.783,50.138.189.643
584.633.274.449,498.525.420.828
601.299.941.116,495.817.168.311
617.966.607.783,493.264.780.922
634.633.274.449,490.875.436.544
651.299.941.116,488.655.826.275
667.966.607.783,486.612.135.728
684.633.274.449,484.750.030.289
701.299.941.116,483.074.644.362
717.966.607.783,481.590.574.549
734.633.274.449,480.301.876.712
751.299.941.116,479.212.066.812
767.966.607.783,478.324.125.402
784.633.274.449,477.640.505.595
801.299.941.116,477.163.144.337
817.966.607.783,476.893.476.745
834.633.274.449,476.832.453.289
851.299.941.116,476.980.559.541
867.966.607.783,477.337.838.209
884.633.274.449,477.903.913.173
901.299.941.116,478.678.015.183
917.966.607.783,479.659.008.921
934.633.274.449,480.845.421.076
951.299.941.116,482.235.469.106
967.966.607.783,483.827.090.344
984.633.274.449,485.617.971.109
100.129.994.112,487.605.575.483
101.796.660.778,489.787.173.445
103.463.327.445,492.159.868.028
105.129.994.112,494.720.621.205
106.796.660.778,497.466.278.225
108.463.327.445,500.393.590.133
110.129.994.112,503.499.234.228
111.796.660.778,50.677.983.226
113.463.327.445,510.231.966.163
115.129.994.112,51.385.219.119
116.796.660.778,51.763.704.631
118.463.327.445,5.215.830.618
120.129.994.112,52.568.676.396
121.796.660.778,529.944.676.962
123.463.327.445,534.353.321.831
125.129.994.112,538.909.212.642
126.796.660.778,54.360.885.001
128.463.327.445,54.844.871.202
130.129.994.112,553.425.242.759
131.796.660.778,558.534.838.651
133.463.327.445,563.773.832.825
135.129.994.112,569.138.477.785
136.796.660.778,574.624.926.651
138.463.327.445,580.229.213.299
140.129.994.112,585.947.231.712
141.796.660.778,591.774.714.899
143.463.327.445,597.707.213.725
145.129.994.112,603.740.076.029
146.796.660.778,609.868.426.391
148.463.327.445,616.087.146.914
150.129.994.112,622.390.859.396
151.796.660.778,628.773.909.238
153.463.327.445,635.230.351.427
155.129.994.112,641.753.938.941
156.796.660.778,648.338.113.854
158.463.327.445,654.976.001.436
160.129.994.112,661.660.407.506
161.796.660.778,668.383.819.228
163.463.327.445,67.513.840.957
165.129.994.112,681.916.045.537
166.796.660.778,68.870.830.029
168.463.327.445,695.506.469.217
170.129.994.112,702.301.589.943
171.796.660.778,709.084.466.263
173.463.327.445,715.845.695.888
175.129.994.112,722.575.701.886
176.796.660.778,729.264.767.604
178.463.327.445,735.903.074.863
180.129.994.112,742.480.745.107
181.796.660.778,748.987.883.206
183.463.327.445,755.414.623.501
185.129.994.112,761.751.177.716
186.796.660.778,767.987.884.248
188.463.327.445,774.115.258.376
190.129.994.112,780.124.042.868
191.796.660.778,786.005.258.468
193.463.327.445,791.750.253.706
195.129.994.112,797.350.753.497
196.796.660.778,802.798.905.974
198.463.327.445,808.087.327.009
200.129.994.112,813.209.141.915
201.796.660.778,818.158.023.807
203.463.327.445,822.928.228.168
205.129.994.112,827.514.623.174
206.796.660.778,831.912.715.407
208.463.327.445,836.118.670.597
210.129.994.112,840.129.329.138
211.796.660.778,84.394.221.614
213.463.327.445,847.555.545.878
215.129.994.112,850.968.220.551
216.796.660.778,854.179.823.344
218.463.327.445,857.190.605.853
220.129.994.112,86.000.147.001
221.796.660.778,862.613.944.717
223.463.327.445,865.030.157.471
225.129.994.112,867.252.801.314
226.796.660.778,869.285.097.526
228.463.327.445,87.113.075.452
230.129.994.112,872.793.923.453
231.796.660.778,874.279.151.111
233.463.327.445,875.591.330.658
235.129.994.112,876.735.650.873
236.796.660.778,87.771.754.451
238.463.327.445,878.542.636.411
240.129.994.112,879.216.692.038
241.796.660.778,879.745.567.031
243.463.327.445,880.135.158.413
245.129.994.112,880.391.358.013
246.796.660.778,880.520.008.644
248.463.327.445,88.052.686.353
250.129.994.112,880.417.549.409
251.796.660.778,88.019.753.368
253.463.327.445,879.872.095.907
255.129.994.112,879.446.303.897
256.796.660.778,87.892.499.451
258.463.327.445,878.312.759.274
260.129.994.112,877.613.934.807
261.796.660.778,876.832.597.951
263.463.327.445,875.972.565.467
265.129.994.112,875.037.398.062
266.796.660.778,874.030.408.432
268.463.327.445,872.954.672.984
270.129.994.112,871.813.046.787
271.796.660.778,870.608.181.315
273.463.327.445,869.342.544.463
275.129.994.112,868.018.442.303
276.796.660.778,866.638.042.036
278.463.327.445,865.203.395.585
280.129.994.112,863.716.463.259
281.796.660.778,862.179.136.962
283.463.327.445,860.593.262.428
285.129.994.112,858.960.659.991
286.796.660.778,857.283.143.468
288.463.327.445,855.562.536.751
290.129.994.112,853.800.687.809
291.796.660.778,851.999.479.806
293.463.327.445,850.160.839.184
295.129.994.112,848.286.740.574
296.796.660.778,846.379.208.504
298.463.327.445,844.440.315.945
300.129.994.112,842.472.179.813
301.796.660.778,840.476.953.605
303.463.327.445,838.456.817.429
305.129.994.112,836.413.965.744
306.796.660.778,834.350.593.167
308.463.327.445,832.268.878.777
310.129.994.112,830.170.969.348
311.796.660.778,828.058.961.991
313.463.327.445,825.934.886.691
315.129.994.112,823.800.689.222
316.796.660.778,821.658.214.916
318.463.327.445,819.509.193.751
320.129.994.112,817.355.227.174
321.796.660.778,815.197.777.038
323.463.327.445,813.038.157.003
325.129.994.112,810.877.526.646
326.796.660.778,808.716.888.515
328.463.327.445,806.557.088.236
330.129.994.112,804.398.817.766
331.796.660.778,802.242.621.747
333.463.327.445,800.088.906.902
335.129.994.112,797.937.954.294
336.796.660.778,795.789.934.221
338.463.327.445,793.644.923.463
340.129.994.112,791.502.924.509
341.796.660.778,789.363.886.391
343.463.327.445,787.227.726.648
345.129.994.112,785.094.353.991
346.796.660.778,782.963.691.138
348.463.327.445,780.835.697.359
350.129.994.112,778.710.390.207
351.796.660.778,776.587.865.976
353.463.327.445,774.468.318.425
355.129.994.112,772.352.055.354
356.796.660.778,770.239.512.655
358.463.327.445,768.131.265.523
360.129.994.112,766.028.036.568
361.796.660.778,763.930.700.627
363.463.327.445,761.840.286.164
365.129.994.112,759.757.973.194
366.796.660.778,757.685.087.754
368.463.327.445,755.623.093.011
370.129.994.112,753.573.577.172
371.796.660.778,751.538.238.409
373.463.327.445,749.518.867.098
375.129.994.112,747.517.325.701
376.796.660.778,745.535.526.669
378.463.327.445,743.575.408.809
380.129.994.112,741.638.912.536
381.796.660.778,739.727.954.502
383.463.327.445,737.844.402.068
385.129.994.112,735.990.048.106
386.796.660.778,734.166.586.586
388.463.327.445,732.375.589.414
390.129.994.112,730.618.484.932
391.796.660.778,728.896.538.475
393.463.327.445,727.210.835.328
395.129.994.112,725.562.266.382
396.796.660.778,723.951.516.736
398.463.327.445,722.379.057.434
400.129.994.112,720.845.140.471
401.796.660.778,719.349.797.136
403.463.327.445,717.892.839.696
405.129.994.112,716.473.866.391
406.796.660.778,715.092.269.608
408.463.327.445,71.374.724.709
410.129.994.112,712.437.815.959
411.796.660.778,71.116.282.929
413.463.327.445,709.920.994.942
415.129.994.112,708.710.896.305
416.796.660.778,707.531.014.594
418.463.327.445,706.379.752.307
420.129.994.112,705.255.457.436
421.796.660.778,704.156.448.025
423.463.327.445,703.081.036.657
425.129.994.112,702.027.554.456
426.796.660.778,700.994.374.218
428.463.327.445,699.979.932.286
430.129.994.112,698.982.748.805
431.796.660.778,698.001.446.059
433.463.327.445,697.034.764.566
435.129.994.112,696.081.576.716
436.796.660.778,695.140.897.719
438.463.327.445,694.211.893.716
440.129.994.112,693.293.886.932
441.796.660.778,692.386.357.828
443.463.327.445,691.488.944.213
445.129.994.112,690.601.437.378
446.796.660.778,689.723.775.336
448.463.327.445,688.856.033.301
450.129.994.112,687.998.411.602
451.796.660.778,687.151.221.243
453.463.327.445,686.314.867.404
455.129.994.112,685.489.831.153
456.796.660.778,684.676.649.738
458.463.327.445,68.387.589.579
460.129.994.112,683.088.155.834
461.796.660.778,682.314.008.502
463.463.327.445,681.554.002.834
465.129.994.112,680.808.637.097
466.796.660.778,680.078.338.487
468.463.327.445,679.363.444.139
470.129.994.112,678.664.183.776
471.796.660.778,67.798.066.438
473.463.327.445,677.312.857.174
475.129.994.112,676.660.587.212
476.796.660.778,676.023.525.821
478.463.327.445,675.401.186.087
480.129.994.112,674.792.921.542
481.796.660.778,674.197.928.159
483.463.327.445,673.615.249.687
485.129.994.112,673.043.786.333
486.796.660.778,672.482.306.725
488.463.327.445,671.929.463.027
490.129.994.112,671.383.809.036
491.796.660.778,670.843.821.033
493.463.327.445,67.030.792.109
495.129.994.112,669.774.502.512
496.796.660.778,66.924.195.703
498.463.327.445,668.708.703.309
500.129.994.112,668.173.216.341
501.796.660.778,667.634.057.206
503.463.327.445,667.089.902.705
505.129.994.112,666.539.574.341
506.796.660.778,665.982.066.105
508.463.327.445,665.416.570.545
510.129.994.112,66.484.250.259
511.796.660.778,664.259.520.634
513.463.327.445,66.366.754.441
515.129.994.112,663.066.769.217
516.796.660.778,662.457.676.129
518.463.327.445,661.841.037.845
520.129.994.112,661.217.919.941
521.796.660.778,660.589.677.321
523.463.327.445,659.957.945.774
525.129.994.112,659.324.628.607
526.796.660.778,658.691.878.432
528.463.327.445,658.062.074.259
530.129.994.112,657.437.794.146
531.796.660.778,656.821.783.756
533.463.327.445,656.216.921.241
535.129.994.112,655.626.178.963
536.796.660.778,655.052.582.654
538.463.327.445,654.499.168.639
540.129.994.112,653.968.939.851
541.796.660.778,653.464.821.385
543.463.327.445,652.989.616.351
545.129.994.112,652.545.962.846
546.796.660.778,652.136.292.807
548.463.327.445,651.762.793.539
550.129.994.112,651.427.372.646
551.796.660.778,651.131.627.046
553.463.327.445,6.508.768.167
555.129.994.112,650.663.843.594
556.796.660.778,650.493.236.402
558.463.327.445,650.365.141.196
560.129.994.112,650.279.318.404
561.796.660.778,650.235.146.125
563.463.327.445,650.231.629.794
565.129.994.112,650.267.418.013
566.796.660.778,65.034.082.431
568.463.327.445,650.449.854.399
570.129.994.112,65.059.223.844
571.796.660.778,650.765.467.685
573.463.327.445,6.509.668.348
575.129.994.112,651.193.477.071
576.796.660.778,65.144.242.166
578.463.327.445,651.710.632.023
580.129.994.112,651.995.054.569
581.796.660.778,652.292.664.668
583.463.327.445,652.600.511.102
585.129.994.112,652.915.758.115
586.796.660.778,653.235.724.258
588.463.327.445,653.557.917.315
590.129.994.112,653.880.064.677
591.796.660.778,654.200.138.648
593.463.327.445,654.516.376.265
595.129.994.112,654.827.293.361
596.796.660.778,655.131.692.716
598.463.327.445,655.428.666.276
600.129.994.112,655.717.591.567
601.796.660.778,655.998.122.525
603.463.327.445,656.270.175.129
605.129.994.112,656.533.908.294
606.796.660.778,656.789.700.602
608.463.327.445,65.703.812.353
610.129.994.112,657.279.911.885
611.796.660.778,657.515.932.226
613.463.327.445,657.747.150.061
615.129.994.112,657.974.596.636
616.796.660.778,658.199.336.094
618.463.327.445,658.422.433.792
620.129.994.112,658.644.926.471
621.796.660.778,658.867.794.955
623.463.327.445,659.091.939.928
625.129.994.112,659.318.161.303
626.796.660.778,659.547.141.537
628.463.327.445,659.779.433.183
630.129.994.112,660.015.450.833
631.796.660.778,660.255.467.505
633.463.327.445,660.499.615.397
635.129.994.112,660.747.890.847
636.796.660.778,661.000.163.214
638.463.327.445,66.125.618.731
640.129.994.112,661.515.618.944
641.796.660.778,661.778.033.041
643.463.327.445,662.042.943.786
645.129.994.112,662.309.826.162
646.796.660.778,662.578.138.263
648.463.327.445,662.847.343.729
650.129.994.112,663.116.933.697
651.796.660.778,663.386.447.626
653.463.327.445,663.655.492.473
655.129.994.112,663.923.759.668
656.796.660.778,664.191.039.469
658.463.327.445,664.457.232.297
660.129.994.112,664.722.356.773
661.796.660.778,664.986.554.236
663.463.327.445,66.525.008.963
665.129.994.112,665.513.348.725
666.796.660.778,665.776.831.741
668.463.327.445,666.041.143.517
670.129.994.112,666.306.980.452
671.796.660.778,666.575.114.537
673.463.327.445,666.846.374.829
675.129.994.112,667.121.626.811
676.796.660.778,667.401.750.108
678.463.327.445,667.687.615.066
680.129.994.112,667.980.058.731
681.796.660.778,668.279.860.766
683.463.327.445,668.587.719.858
685.129.994.112,668.904.231.129
686.796.660.778,66.922.986.507
688.463.327.445,669.564.948.458
690.129.994.112,669.909.647.681
691.796.660.778,670.263.954.849
693.463.327.445,670.627.676.989
695.129.994.112,671.000.428.576
696.796.660.778,671.381.627.581
698.463.327.445,671.770.495.112
700.129.994.112,672.166.058.702
701.796.660.778,67.256.715.917
703.463.327.445,672.972.460.953
705.129.994.112,673.380.465.697
706.796.660.778,673.789.528.874
708.463.327.445,674.197.879.086
710.129.994.112,674.603.639.715
711.796.660.778,675.004.852.479
713.463.327.445,675.399.502.478
715.129.994.112,675.785.544.237
716.796.660.778,676.160.928.267
718.463.327.445,676.523.627.657
720.129.994.112,676.871.664.193
721.796.660.778,677.203.133.554
723.463.327.445,677.516.229.103
725.129.994.112,677.809.263.893
726.796.660.778,678.080.690.475
728.463.327.445,678.329.118.214
730.129.994.112,678.553.327.817
731.796.660.778,678.752.282.864
733.463.327.445,67.892.513.821
735.129.994.112,679.071.245.153
736.796.660.778,679.190.153.364
738.463.327.445,679.281.609.633
740.129.994.112,679.345.553.536
741.796.660.778,679.382.110.222
743.463.327.445,679.391.580.527
745.129.994.112,679.374.428.731
746.796.660.778,679.331.268.272
748.463.327.445,679.262.845.793
750.129.994.112,679.170.023.927
751.796.660.778,679.053.763.221
753.463.327.445,678.915.103.643
755.129.994.112,678.755.146.101
756.796.660.778,678.575.034.375
758.463.327.445,678.375.937.895
760.129.994.112,678.159.035.707
761.796.660.778,677.925.501.994
763.463.327.445,677.676.493.432
765.129.994.112,677.413.138.641
766.796.660.778,677.136.529.921
768.463.327.445,676.847.717.408
770.129.994.112,676.547.705.732
771.796.660.778,676.237.453.199
773.463.327.445,675.917.873.431
775.129.994.112,675.589.839.381
776.796.660.778,675.254.189.546
778.463.327.445,67.491.173.617
780.129.994.112,674.563.275.162
781.796.660.778,674.209.597.441
783.463.327.445,673.851.501.346
785.129.994.112,673.489.805.768
786.796.660.778,673.125.363.587
788.463.327.445,67.275.907.505
790.129.994.112,672.391.900.661
791.796.660.778,672.024.873.215
793.463.327.445,671.659.108.584
795.129.994.112,671.295.814.909
796.796.660.778,670.936.299.875
798.463.327.445,670.581.975.781
800.129.994.112,670.234.362.178
801.796.660.778,669.895.085.859
803.463.327.445,669.565.878.093
805.129.994.112,669.248.568.998
806.796.660.778,668.945.079.038
808.463.327.445,668.657.407.686
810.129.994.112,668.387.619.333
811.796.660.778,668.137.826.612
813.463.327.445,66.791.017.132
815.129.994.112,667.706.803.232
816.796.660.778,66.752.985.707
818.463.327.445,667.381.428.007
820.129.994.112,667.263.546.074
821.796.660.778,667.178.149.884
823.463.327.445,667.127.060.098
825.129.994.112,667.111.953.098
826.796.660.778,6.671.343.353
828.463.327.445,667.195.518.567
830.129.994.112,667.296.597.155
831.796.660.778,667.438.426.622
833.463.327.445,667.621.605.076
835.129.994.112,667.846.457.144
836.796.660.778,668.113.020.951
838.463.327.445,66.842.103.841
840.129.994.112,668.769.949.013
841.796.660.778,669.158.887.302
843.463.327.445,66.958.668.411
845.129.994.112,670.051.871.605
846.796.660.778,670.552.692.109
848.463.327.445,671.087.110.607
850.129.994.112,671.652.830.767
851.796.660.778,672.247.314.265
853.463.327.445,672.867.803.136
855.129.994.112,67.351.134.481
856.796.660.778,674.174.819.469
858.463.327.445,674.854.969.284
860.129.994.112,675.548.429.106
861.796.660.778,676.251.758.115
863.463.327.445,676.961.471.947
865.129.994.112,677.674.074.796
866.796.660.778,678.386.091.009
868.463.327.445,679.094.095.689
870.129.994.112,679.794.743.851
871.796.660.778,680.484.797.721
873.463.327.445,681.161.151.787
875.129.994.112,681.820.855.273
876.796.660.778,682.461.131.766
878.463.327.445,683.079.395.772
880.129.994.112,683.673.266.061
881.796.660.778,684.240.575.702
883.463.327.445,684.779.378.789
885.129.994.112,685.287.953.897
886.796.660.778,685.764.804.389
888.463.327.445,686.208.655.762
890.129.994.112,686.618.450.252
891.796.660.778,686.993.339.003
893.463.327.445,687.332.672.112
895.129.994.112,68.763.598.694
896.796.660.778,687.902.995.045
898.463.327.445,688.133.568.185
900.129.994.112,688.327.723.756
901.796.660.778,688.485.610.119
903.463.327.445,688.607.492.164
905.129.994.112,688.693.737.509
906.796.660.778,688.744.803.647
908.463.327.445,688.761.226.348
910.129.994.112,68.874.360.954
911.796.660.778,688.692.616.871
913.463.327.445,688.608.965.074
915.129.994.112,688.493.419.203
916.796.660.778,688.346.789.742
918.463.327.445,688.169.931.536
920.129.994.112,687.963.744.424
921.796.660.778,68.772.917.539
923.463.327.445,68.746.722.203
925.129.994.112,687.178.937.045
926.796.660.778,686.865.433.472
928.463.327.445,686.527.890.313
930.129.994.112,686.167.558.214
931.796.660.778,685.785.764.846
933.463.327.445,685.383.919.622
935.129.994.112,684.963.517.416
936.796.660.778,684.526.140.969
938.463.327.445,684.073.461.692
940.129.994.112,683.607.238.623
941.796.660.778,68.312.931.535
943.463.327.445,682.641.614.743
945.129.994.112,682.146.131.438
946.796.660.778,681.644.922.036
948.463.327.445,681.140.093.068
950.129.994.112,680.633.786.858
951.796.660.778,680.128.165.422
953.463.327.445,679.625.392.678
955.129.994.112,679.127.615.231
956.796.660.778,678.636.942.072
958.463.327.445,678.155.423.588
960.129.994.112,677.685.030.267
961.796.660.778,677.227.631.549
963.463.327.445,676.784.975.259
965.129.994.112,676.358.668.057
966.796.660.778,675.950.157.361
968.463.327.445,675.560.715.129
970.129.994.112,675.191.423.901
971.796.660.778,674.843.165.438
973.463.327.445,674.516.612.249
975.129.994.112,674.212.222.249
976.796.660.778,673.930.236.709
978.463.327.445,673.670.681.631
980.129.994.112,673.433.372.566
981.796.660.778,673.217.922.852
983.463.327.445,673.023.755.172
985.129.994.112,672.850.116.251
986.796.660.778,672.696.094.475
988.463.327.445,672.560.640.114
990.129.994.112,672.442.587.813
991.796.660.778,672.340.680.951
993.463.327.445,672.253.597.431
995.129.994.112,672.179.976.442
996.796.660.778,672.118.445.699
998.463.327.445,672.067.648.687
100.012.999.411,672.026.271.396
100.179.666.078,671.993.068.079
100.346.332.744,671.966.885.566
100.512.999.411,671.946.685.706
100.679.666.078,67.193.156.553
100.846.332.744,671.920.774.795
101.012.999.411,671.913.730.598
101.179.666.078,671.910.028.816
101.346.332.744,671.909.452.184
101.512.999.411,671.911.974.887
101.679.666.078,671.917.763.587
101.846.332.744,671.927.174.908
102.012.999.411,671.940.749.413
102.179.666.078,671.959.202.204
102.346.332.744,671.983.410.323
102.512.999.411,672.014.397.165
102.679.666.078,672.053.314.187
102.846.332.744,67.210.142.022
103.012.999.411,672.160.058.733
103.179.666.078,672.230.633.416
103.346.332.744,672.314.582.491
103.512.999.411,672.413.352.148
103.679.666.078,672.528.369.528
103.846.332.744,672.661.015.673
104.012.999.411,672.812.598.846
104.179.666.078,672.984.328.632
104.346.332.744,673.177.291.191
104.512.999.411,673.392.426.031
104.679.666.078,673.630.504.615
104.846.332.744,673.892.111.129
105.012.999.411,674.177.625.642
105.179.666.078,674.487.209.907
105.346.332.744,674.820.795.981
105.512.999.411,675.178.077.798
105.679.666.078,675.558.505.804
105.846.332.744,675.961.284.707
106.012.999.411,676.385.374.355
106.179.666.078,6.768.294.937
106.346.332.744,677.292.127.798
106.512.999.411,67.777.153.771
106.679.666.078,678.265.773.171
106.846.332.744,678.772.687.833
107.012.999.411,679.289.956.881
107.179.666.078,679.815.096.761
107.346.332.744,680.345.486.772
107.512.999.411,68.087.839.223
107.679.666.078,681.410.988.902
107.846.332.744,681.940.388.406
108.012.999.411,682.463.664.259
108.179.666.078,682.977.878.262
108.346.332.744,683.480.106.902
108.512.999.411,683.967.467.487
108.679.666.078,684.437.143.705
108.846.332.744,684.886.410.349
109.012.999.411,685.312.656.962
109.179.666.078,685.713.410.158
109.346.332.744,686.086.354.446
109.512.999.411,686.429.351.361
109.679.666.078,686.740.456.785
109.846.332.744,687.017.936.334
110.012.999.411,687.260.278.737
110.179.666.078,687.466.207.164
110.346.332.744,687.634.688.474
110.512.999.411,687.764.940.401
110.679.666.078,687.856.436.693
110.846.332.744,687.908.910.278
111.012.999.411,687.922.354.501
111.179.666.078,687.897.022.531
111.346.332.744,687.833.425.034
111.512.999.411,68.773.232.619
111.679.666.078,687.594.738.179
111.846.332.744,687.421.914.224
112.012.999.411,687.215.340.288
112.179.666.078,68.697.672.552
112.346.332.744,686.707.991.529
112.512.999.411,686.411.260.557
112.679.666.078,686.088.842.622
112.846.332.744,685.743.221.664
113.012.999.411,685.377.040.758
113.179.666.078,684.993.086.419
113.346.332.744,684.594.272.018
